"longitude","latitude"
2.29267,48.803063
2.2319745,48.8302676
-3.684414,40.397706
2.3303682,48.8759316
2.3253878,48.8665539
-3.6914724,40.4506761
-3.674324,40.401163
-3.694071,40.430734
2.313523,48.903173
2.3109038,48.8599936
2.172649,48.890891
-3.6904032,40.4386515
2.3268665,48.8093427
2.232525,48.892065
2.3047888,48.8728426
2.355079,48.92062
-3.65797124880111,40.44615585
2.3132154,48.8788451
2.3109038,48.8599936
2.3515454,48.9184799
2.37073,48.861143
-3.618204,40.459994
2.212569,48.908478
2.2982916,48.8723901
2.2431841,48.8869625
2.2664462,48.8815525
2.342297,48.930178
2.35882247912371,48.7291935
2.34392641870438,48.9286312
2.264213,48.905715
2.252382,48.889558
-3.653401,40.530834
-3.693909,40.462942
-3.687099,40.424956
2.2909643,48.8840622
2.3120856,48.8753041
2.22859,48.896639
2.22859,48.896639
-3.6738885,40.4937561
2.2687767,48.8833602
2.3359594,48.873887
2.242977,48.892689
2.245292,48.888318
-3.6385158,40.531492
-3.668344,40.422994
2.2641219,48.8278064
2.3289952,48.8716761
2.235605,48.894598
2.176967,48.938985
2.237727,48.89385
-3.6874406,40.4286439
-3.718926,40.448937
2.2920402,48.8672098
2.2755828,48.7946169
2.233734,48.820605
2.2944341,48.8837077
2.3093804,48.9166573
2.3093804,48.9166573
2.3681815,48.8413419
2.309885,48.87013
2.1664323,48.888873
2.229278,48.896916
-3.6877853,40.4327302
2.2266324,48.8971044
-3.6679229,40.4833586
-3.6506488,40.4554238
2.2905934,48.8720214
2.370548,48.880817
-3.688228,40.426082
-3.689808,40.466974
-3.617322,40.462834
-3.6929749,40.4531247
-3.628448,40.4347799
