HRS name,HRS operator,HRS owner,street address,postal code,city,Country,Source,Full Address,Latitude,Longitude
Mülheim,H2 Mobility,H2 Mobility,Humboldtring 3,45472,Mülheim an der Ruhr,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Humboldtring 3, 45472, Mülheim an der Ruhr, Germany",51.43973535,6.954586794723783
München | Flughafen,H2 Mobility,H2 Mobility,Erdinger Allee 2,85356,München,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Erdinger Allee 2, 85356, München, Germany",48.359656,11.826759
München | Kreillerstraße,H2 Mobility,H2 Mobility,Kreillerstraße 220,81673,München,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Kreillerstraße 220, 81673, München, Germany",48.1214859,11.6636715
München | Ottobrunner Straße,H2 Mobility,H2 Mobility,Ottobrunner Str. 116,81737,München,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ottobrunner Str. 116, 81737, München, Germany",48.1032056,11.6251189
München | Verdistraße,H2 Mobility,H2 Mobility,Verdistraße 96,81673,München,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Verdistraße 96, 81673, München, Germany",48.1650527,11.4673652
München | Wilhelm-Hale-Str.,H2 Mobility,H2 Mobility,Wilhelm-Hale-Str. 55,80639,München,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Wilhelm-Hale-Str. 55, 80639, München, Germany",48.1496651,11.5200704
Münster,Westfalen AG,Westfalen AG,Kopenhagener Straße 19,48163,Münster,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Kopenhagener Straße 19, 48163, Münster, Germany",51.8925152,7.5841728
Müntschemier,Schwab-Guillod AG,Schwab-Guillod AG,Lagerhausweg 7,3225,Müntschemier,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Lagerhausweg 7, 3225, Müntschemier, Switzerland",46.9934759,7.1537445
Neuruppin,H2 Mobility,H2 Mobility,Bechliner Chaussee 17,16816,Neuruppin,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bechliner Chaussee 17, 16816, Neuruppin, Germany",52.90551685,12.75475396776026
Niebüll,eFarming,eFarming,Ostring 2B,25899,Niebüll,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ostring 2B, 25899, Niebüll, Germany",54.782862,8.851033
Nieuwegein,Greenpoint,Hysolar,Morsebaan 1,3439 NA,Nieuwegein,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Morsebaan 1, 3439 NA, Nieuwegein, Netherlands",52.0278393,5.1051571
Nürnberg,H2 Mobility,H2 Mobility,Gleiwitzer Straße 220,90475,Nürnberg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Gleiwitzer Straße 220, 90475, Nürnberg, Germany",49.41052285,11.14627453000242
Octeville-sur-Mer,SPIE,Le Havre Seine Metropole,route de la Chênaie,76930,Octeville-sur-Mer,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"route de la Chênaie, 76930, Octeville-sur-Mer, France",49.541766,0.108237
Offenbach,H2 Mobility,H2 Mobility,Kaiserlei-Promenade 5,63067,Offenbach am Main,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Kaiserlei-Promenade 5, 63067, Offenbach am Main, Germany",50.104883,8.737035
Oldenburg,H2 Mobility,H2 Mobility,Cloppenburger Str.  154,26133,Oldenburg,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Cloppenburger Str.  154, 26133, Oldenburg, Germany",53.1221689,8.2174605
Oslo | Høvik,Hynion AS,Hynion AS,Sandviksveien 17,1363,Høvik,Norway,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Sandviksveien 17, 1363, Høvik, Norway",59.898574,10.575899
Paris | Chapelle,HysetCo,HysetCo,46 Avenue du Président Wilson,93210,Saint-Denis,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"46 Avenue du Président Wilson, 93210, Saint-Denis, France",48.9030286,2.3601653
Paris | Charles de Gaulle Airport,HysetCo,HysetCo,Station de recharge Hydrogène Roissy CDG,77290,Mitry-Mory,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Station de recharge Hydrogène Roissy CDG, 77290, Mitry-Mory, France",,
Paris | Pont de l'Alma,Air Liquide,Air Liquide,Place de l'Alma,75008,Paris,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Place de l'Alma, 75008, Paris, France",48.86505,2.3013405
Paris | Aéroport de Paris-Orly,HysetCo,HysetCo,"Orly Ouest, Avenue de l'Aéroport",94390,Paray-Vieille-Poste,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Orly Ouest, Avenue de l'Aéroport, 94390, Paray-Vieille-Poste, France",48.7069733,2.3712531
Passau,H2 Mobility,H2 Mobility,Regensburger Str. 68,94036,Passau,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Regensburger Str. 68, 94036, Passau, Germany",48.5743169,13.4168443
Pentling,H2 Mobility,H2 Mobility,Ammerholz 3,93080,Pentling,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ammerholz 3, 93080, Pentling, Germany",48.97294015,12.06475816123327
Pesse,Green Planet,Green Planet Real Estate B.V.,Bultinge 2,7933 TW,Pesse,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bultinge 2, 7933 TW, Pesse, Netherlands",52.7737861,6.4450643
Pforzheim,H2 Mobility,H2 Mobility,Im Buchbusch 12,75177,Pforzheim,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Im Buchbusch 12, 75177, Pforzheim, Germany",48.9204945,8.72062157438548
Pont-l'Évêque,GNVert,SDEC Energie,42 rue Georges Clémenceau,14130,Pont – l'Évêque,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"42 rue Georges Clémenceau, 14130, Pont – l'Évêque, France",49.288062,0.197271
Port Talbot,University of South Wales,University of South Wales,Baglan,SA12 7AX,Port Talbot,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Baglan, SA12 7AX, Port Talbot, United Kingdom",,
Potsdam,H2 Mobility,H2 Mobility,Horstweg 53c,14478,Potsdam,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Horstweg 53c, 14478, Potsdam, Germany",52.3819936,13.08847158060929
Puertollano | Ciudad Real,Centro Nacional del Hidrógeno,Centro Nacional del Hidrógeno,Prolongación Fernando el Santo s/n,13500,Puertollano,Spain,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Prolongación Fernando el Santo s/n, 13500, Puertollano, Spain",38.651018,-4.071283
Rainham,Motive Fuels,Motive Fuels,"CEME Campus, Marsh Way",RM13 8EU,Rainham,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"CEME Campus, Marsh Way, RM13 8EU, Rainham, United Kingdom",51.51082165,0.1733010206995574
Rastatt,H2 Mobility,H2 Mobility,Karlsruher Str.  16,76437,Rastatt,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Karlsruher Str.  16, 76437, Rastatt, Germany",48.8637778,8.2179519
Ratingen,H2 Mobility,H2 Mobility,Brachter Str. 36,40882,Ratingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Brachter Str. 36, 40882, Ratingen, Germany",51.2954049,6.9149357
Reedijk,Everfuel,Everfuel,Reedijk 7S,3274,KE Heinenoord,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Reedijk 7S, 3274, KE Heinenoord, Netherlands",51.817759,4.497918
Reykjavík,Skeljungur hf,H2 Iceland,Grjótháls,110,Reykjavík,Iceland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Grjótháls, 110, Reykjavík, Iceland",64.123149,-21.797941
Rheda-Wiedenbrück,H2 Mobility,H2 Mobility,Bielefelder Str. 145,33378,Rheda-Wiedenbrück,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bielefelder Str. 145, 33378, Rheda-Wiedenbrück, Germany",51.8490932,8.323268310837936
Rhoon,Air Liquide,Air Liquide,Groene Kruisweg 397,3161 EJ,Rhoon,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Groene Kruisweg 397, 3161 EJ, Rhoon, Netherlands",51.8660294,4.4371528
Rostock,H2 Mobility,H2 Mobility,Tessiner Str. 98,18055,Rostock,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Tessiner Str. 98, 18055, Rostock, Germany",54.0806552,12.18909004879677
Rothenburg,LANDI Sempach-Emmen,LANDI Sempach-Emmen,Stationsstraße 82,6023,Rothenburg,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Stationsstraße 82, 6023, Rothenburg, Switzerland",47.0926569,8.253479
Rotherham | Hydrogen Mini Grid,Motive Fuels,Motive Fuels,"Advanced Manufacturing Park, Morse Way, off Brunel Way, Catcliffe, Rotherham",S60 5WG,Rotherham,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Advanced Manufacturing Park, Morse Way, off Brunel Way, Catcliffe, Rotherham, S60 5WG, Rotherham, United Kingdom",53.371507,-1.400053
Rouen,GNVert,Métropole Rouen Normandie,Place of Boulingrin,76000,Rouen,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Place of Boulingrin, 76000, Rouen, France",49.44714,1.106346
Rümlang,Avia,Avia,Riedgrabenstraße 26,8153,Rümlang,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Riedgrabenstraße 26, 8153, Rümlang, Switzerland",47.461212,8.51892
Saarbrücken,H2 Mobility,H2 Mobility,Burbacher Str. 50,66117,Saarbrücken,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Burbacher Str. 50, 66117, Saarbrücken, Germany",49.2367128,6.9423535
Saint Lô,Conseil Général de la Manche,Conseil Général de la Manche,98 Route de Candol,50000,Saint Lô,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"98 Route de Candol, 50000, Saint Lô, France",49.100652,-1.117092
Sandviken,Hynion AS,Hynion AS,Sätragatan 17,81161,Sandviken,Sweden,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Sätragatan 17, 81161, Sandviken, Sweden",60.6106979,16.7739116
Schnelldorf,H2 Mobility,H2 Mobility,Rudolf-Diesel-Str. 1,91625,Schnelldorf,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rudolf-Diesel-Str. 1, 91625, Schnelldorf, Germany",49.1710258,10.24140894168581
Siegen,H2 Mobility,H2 Mobility,Obere Leimbach,57074,Siegen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Obere Leimbach, 57074, Siegen, Germany",50.88854785,8.058820228947226
Sindelfingen,H2 Mobility,H2 Mobility,Neckarstraße 10,71065,Sindelfingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Neckarstraße 10, 71065, Sindelfingen, Germany",48.7032184,9.0048578
St. Gallen | Industriestraße,Avia,Avia,Industriestraße 149,9200,Gossau,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Industriestraße 149, 9200, Gossau, Switzerland",47.409306,9.285074
St. Gallen | Oberstraße,Osterwalder St. Gallen AG,Avia,Oberstrasse 137,9000,St. Gallen,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Oberstrasse 137, 9000, St. Gallen, Switzerland",47.4142091,9.3579443
Stockholm-Arlanda,Hynion AS,Hynion AS,Pilotvägen 2,19060,Arlanda,Sweden,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Pilotvägen 2, 19060, Arlanda, Sweden",59.648599,17.931748
Stuhr,H2 Mobility,H2 Mobility,Moordeicher Landstr. 84-86,28816,Stuhr,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Moordeicher Landstr. 84-86, 28816, Stuhr, Germany",53.0117287,8.703734
Stuttgart | Flughafen,H2 Mobility,H2 Mobility,Flughafenstraße 70,70629,Echterdingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Flughafenstraße 70, 70629, Echterdingen, Germany",48.6929656,9.198638
Swindon | Highworth Road,BOC,BOC,"Honda, Highworth Road",SN3 4QS,Swindon,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Honda, Highworth Road, SN3 4QS, Swindon, United Kingdom",51.6518367,-1.592017
Teddington,Motive Fuels,Motive Fuels,"Essen Way, off Dora Jordan Road",TW11 0LY,Teddington,United Kingdom,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Essen Way, off Dora Jordan Road, TW11 0LY, Teddington, United Kingdom",,
Ulm,H2 Mobility,H2 Mobility,Helmholtzstraße 8,89081,Ulm,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Helmholtzstraße 8, 89081, Ulm, Germany",48.4252048,9.9597958
Val-de-Reuil,EASHyMob,SIEGE 27,Avenue des Métiers,27100,Val-de-Reuil,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Avenue des Métiers, 27100, Val-de-Reuil, France",49.250887,1.174215
Veldhoven,TotalEnergies Gas Mobility,TotalEnergies Gas Mobility,De Run 4232,5503 LL,Veldhoven,Netherlands,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"De Run 4232, 5503 LL, Veldhoven, Netherlands",51.4121401,5.4273733
Versailles,Air Liquide,Air Liquide,Rue de la Croix Blanche,78350,Les Loges-en-Josas,France,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rue de la Croix Blanche, 78350, Les Loges-en-Josas, France",48.762386,2.135051
Weiterstadt,H2 Mobility,H2 Mobility,Robert-Koch-Str. 1,64331,Weiterstadt,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Robert-Koch-Str. 1, 64331, Weiterstadt, Germany",49.896784,8.613398
Wendlingen,H2 Mobility,H2 Mobility,Heinrich-Otto-Str.  2,73240,Wendlingen,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Heinrich-Otto-Str.  2, 73240, Wendlingen, Germany",48.6743797,9.3717161
Wesseling,H2 Mobility,H2 Mobility,Ahrstraße 99,50389,Wesseling,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Ahrstraße 99, 50389, Wesseling, Germany",50.8115678,6.990817
Westre,Windpark Ellhöft GmbH & Co.KG,Windpark Ellhöft GmbH & Co.KG,Grenzstraße 1,25926,Westre,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Grenzstraße 1, 25926, Westre, Germany",,
Wien,H2 Mobility,OMV,Shuttleworthstraße 10,1210,Wien,Austria,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Shuttleworthstraße 10, 1210, Wien, Austria",48.2704413,16.4125346
Wiener Neudorf,H2 Mobility,OMV,IZ NÖ-Süd Straße 4,2351,Wiener Neudorf,Austria,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"IZ NÖ-Süd Straße 4, 2351, Wiener Neudorf, Austria",48.0745748,16.329505
Wiesbaden,H2 Mobility,H2 Mobility,Borsigstraße 1,65205,Wiesbaden,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Borsigstraße 1, 65205, Wiesbaden, Germany",50.0567287,8.3393327
Wilrijk,Colruyt DATS 24,Colruyt DATS 24,950 Boomsesteenweg,2610,Wilrijk,Belgium,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"950 Boomsesteenweg, 2610, Wilrijk, Belgium",51.14965815,4.380490121547133
Wuppertal,H2 Mobility,H2 Mobility,Schmiedestraße 91,42279,Wuppertal,Germany,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Schmiedestraße 91, 42279, Wuppertal, Germany",51.30825245,7.252651429209951
Zaventem,Air Liquide,Air Liquide,Leuvensesteenweg 546,1930,Zaventem,Belgium,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Leuvensesteenweg 546, 1930, Zaventem, Belgium",50.8750267,4.493886
Zofingen,LANDI Zofingen,LANDI Zofingen,Bleicheweg 6,4800,Zofingen,Switzerland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Bleicheweg 6, 4800, Zofingen, Switzerland",47.2959533,7.9323762
Alkmaar,HYGRO,NXT Mobility,Diamantweg 32,1812,Alkmaar,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Diamantweg 32, 1812, Alkmaar, Niederlande",,
Amersfoort,Fountain Fuel,Fountain Fuel,De Windturbine 1-3,3815 KP,Amersfoort,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"De Windturbine 1-3, 3815 KP, Amersfoort, Niederlande",52.1637138,5.4237595
Antwerpen | Boomsesteenweg,Colruyt DATS 24,Colruyt DATS 24,Boomsesteenweg 950,2610,Antwerpen,Belgien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Boomsesteenweg 950, 2610, Antwerpen, Belgien",51.14965815,4.380490121547133
Düren,H2 Mobility,H2 Mobility,Im großen Tal 1,52353,Düren,Deutschland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Im großen Tal 1, 52353, Düren, Deutschland",50.83390695,6.459263771253815
Eindhoven | Eisenhouwerlaan,Twinning Energy,Twinning Energy,Eisenhouwerlaan 11,5631 NR,Eindhoven,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Eisenhouwerlaan 11, 5631 NR, Eindhoven, Niederlande",,
Emmen | GZI Next,Shell,Shell,Phileas Foggstraat 45,7825 AL,Emmen,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Phileas Foggstraat 45, 7825 AL, Emmen, Niederlande",52.7535876,6.9381154
Erpe-Mere,Colruyt DATS 24,Colruyt DATS 24,Gentsesteenweg 239,9420,Erpe-Mere,Belgien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Gentsesteenweg 239, 9420, Erpe-Mere, Belgien",50.94451935,3.9731138
Gießen,CE Station,CE Station,Schiffenberger Weg 123,35394,Gießen,Deutschland,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Schiffenberger Weg 123, 35394, Gießen, Deutschland",50.5706801,8.6940185
Haasrode,Colruyt DATS 24,Colruyt DATS 24,Geldenaaksebaan 448,3001,Leuven,Belgien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Geldenaaksebaan 448, 3001, Leuven, Belgien",50.8497573,4.7226576
Herning,Everfuel,Everfuel,Vejlevej 5,7400,Herning,Dänemark,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Vejlevej 5, 7400, Herning, Dänemark",56.113036,8.977897
Herve,Colruyt DATS 24,Colruyt DATS 24,Outre-Cour 37,4651,Herve,Belgien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Outre-Cour 37, 4651, Herve, Belgien",50.6369697,5.7756166
Hoofddorp,OrangeGas,OrangeGas,Changing Lane 10,2132 MD,Hoofddorp,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Changing Lane 10, 2132 MD, Hoofddorp, Niederlande",52.2706035,4.6960606
Horst,Vissers Energy Group,Vissers Energy Group,Stationsstraat 92,5961HS,Horst,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Stationsstraat 92, 5961HS, Horst, Niederlande",51.4402874,6.0489153
Issy-Les-Moulineaux,Hype,Hype,4 Boulevard Garibaldi,92130,Issy-Les-Moulineaux,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"4 Boulevard Garibaldi, 92130, Issy-Les-Moulineaux, Frankreich",48.825142,2.261853
Kolhorn | Havenweg,Avia Marees,Avia Marees,Havenweg 14,1767 EC,Kolhorn,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Havenweg 14, 1767 EC, Kolhorn, Niederlande",52.7920242,4.9106933
Le Mans,Hype,Hype,"Parking ActiSud Paddock, 9 rue Maurice Trintignant",72000,Le Mans,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Parking ActiSud Paddock, 9 rue Maurice Trintignant, 72000, Le Mans, Frankreich",47.950618,0.195235
Les Sables d´Olonne,Vendée Energie,SyDEV,1 Rue de la Fête,85340,Les Sables d´Olonnes,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"1 Rue de la Fête, 85340, Les Sables d´Olonnes, Frankreich",46.516737,-1.753306
Litvinov,ORLEN Benzina,ORLEN Unipetrol RPA s.r.o.,"silnice č. 27, Záluží",43601,Litvinov,Tschechien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"silnice č. 27, Záluží, 43601, Litvinov, Tschechien",,
Luxembourg,TotalEnergies Gas Mobility,TotalEnergies Gas Mobility,212 Zone Inustrielle Scheleck 2,3225,Bettembourg,Luxemburg,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"212 Zone Inustrielle Scheleck 2, 3225, Bettembourg, Luxemburg",49.508544,6.093933
Lyon | Saint-Priest,Hympulsion,Hympulsion,35 Avenue Clément Ader,69800,Saint-Priest,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"35 Avenue Clément Ader, 69800, Saint-Priest, Frankreich",45.7135943,4.9606415
Maché,Avia,,ZA de Bel Air,85190,Maché,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"ZA de Bel Air, 85190, Maché, Frankreich",,
Moutiers,Hympulsion,Hympulsion,299 Avenue des Belleville,73600,Moutiers,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"299 Avenue des Belleville, 73600, Moutiers, Frankreich",45.484022,6.525732
Ollignies,Colruyt DATS 24,Colruyt DATS 24,Rue de la Verte Louche 2,7866,Lessen,Belgien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Rue de la Verte Louche 2, 7866, Lessen, Belgien",50.695592,3.88395
Paris | Bercy,Hype,Hype,20 Bd Poniatowski,75012,Paris,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"20 Bd Poniatowski, 75012, Paris, Frankreich",48.8296473,2.391373
Paris | Porte de Saint Cloud,HysetCo,HysetCo,22 av Dode de la Brunerie,75016,Paris,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"22 av Dode de la Brunerie, 75016, Paris, Frankreich",48.8366064,2.2568757
Prague | Barandov,ORLEN Benzina,ORLEN Unipetrol RPA s.r.o.,K Barrandovu 1136,15200,Prague,Tschechien,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"K Barrandovu 1136, 15200, Prague, Tschechien",50.0306605,14.3802745
Roosendaal,H2Point,TotalEnergies Gas Mobility,Aanwas 4,4704,Roosendaal,Niederlande,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Aanwas 4, 4704, Roosendaal, Niederlande",,
Rybnik,PAK-PCE STACJE H2 Sp. z o.o.,PAK-PCE STACJE H2 Sp. z o.o.,Budowlanych Street 6,44-200,Rybnik,Polen,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Budowlanych Street 6, 44-200, Rybnik, Polen",50.1012705,18.5334116
Schötz,LANDI Luzern-West,LANDI Luzern-West,Schürmatt 5,6247,Schötz,Schweiz,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Schürmatt 5, 6247, Schötz, Schweiz",47.1820486,7.9825542
Strasbourg | R-Hynoca,R-Hynoca,R-Hynoca,78 rue de la plaine des bouchers,67100,Strasbourg,Frankreich,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"78 rue de la plaine des bouchers, 67100, Strasbourg, Frankreich",48.564899,7.738885
Warsaw | Tango Street,PAK-PCE STACJE H2 Sp. z o.o.,PAK-PCE STACJE H2 Sp. z o.o.,Tango Street 4,02-825,Warsaw,Polen,Hydrogen Refuelling Stations | European Hydrogen Observatory (europa.eu),"Tango Street 4, 02-825, Warsaw, Polen",52.087635,21.248934
