"Lat","Lon","Name","Full Address","Address","ZIP","City","Country"
48.8462682,2.2609682,"Acaplast","24 rue Erlanger  75016 Paris",NA,NA,NA,"France"
48.8311187,2.3764903,"Accenture","118 avenue de France 75013 Paris",NA,NA,NA,"France"
48.8777159,2.3040221,"AIP","4 avenue Hoche 75008 Paris",NA,NA,NA,"France"
48.8618312,2.3045629,"AIR LIQUIDE HYDROGENE","6 RUE COGNACQ JAY, 75007, Paris, Frankreich","6 RUE COGNACQ JAY","75007","PARIS","France"
48.9022393,2.3695304,"AIR PRODUCTS France","BAT 221 PARC DES PORTES PARIS BAT 270, 45 AVENUE VICTOR HUGO, 93300, Seine-Saint-Denis, Frankreich","BAT 221 PARC DES PORTES PARIS BAT 270, 45 AVENUE VICTOR HUGO","93300","AUBERVILLIERS","France"
48.891914,2.25262,"AIRE NOUVELLE","49 RUE LOUIS BLANC, 92400, Hauts-de-Seine, Frankreich","49 RUE LOUIS BLANC","92400","COURBEVOIE","France"
48.887919,2.244068,"ALDER HOLDINGS SAS","23 27 TOUR DEFENSE PLAZA, 23 RUE DELARIVIERE LEFOULLON, 92800, Hauts-de-Seine, Frankreich","23 27 TOUR DEFENSE PLAZA, 23 RUE DELARIVIERE LEFOULLON","92800","PUTEAUX","France"
48.914934,2.330397,"ALSTOM France","48 rue Albert Dhalenne 93482 Saint-Ouen-sur-Seine",NA,NA,NA,"France"
48.889879,2.254564,"APAVE","6 rue du Général Audran 92400 Courbevoie",NA,NA,NA,"France"
48.839419,2.30157,"Arhyze","281 rue de Vaugirard 75015 Paris",NA,NA,NA,"France"
48.9086455,2.2295618,"ARKEMA FRANCE","420 RUE D ESTIENNE D ORVES, 92700, Hauts-de-Seine, Frankreich","420 RUE D ESTIENNE D ORVES","92700","COLOMBES","France"
48.8759316,2.3303682,"ARTELYS SAS","81 rue Saint Lazare, Paris, 75009, France",NA,NA,NA,"France"
48.8866288,2.2445769,"Association Française des Gaz Comprimés","14 rue de la République - Le Diamant A 92800 Puteaux",NA,NA,NA,"France"
48.8530191,2.3896788,"ATH","9 RUE ALEXANDRE DUMAS, 75011, Paris, Frankreich","9 RUE ALEXANDRE DUMAS","75011","PARIS","France"
48.8913322,2.3417503,"Avere France","112 quater rue Marcadet 75018 Paris",NA,NA,NA,"France"
48.8712949,2.3136468,"AXA","25 Avenue Matignon, Paris, Ile-de-France, 75008",NA,NA,NA,"France"
48.8864464,2.2976787,"BCTG Avocats","14 avenue Gourgaud 75017 Paris",NA,NA,NA,"France"
48.8883958,2.1708301,"Blue Spirit Aero","11 rue Amédée Bollée 92500 Rueil-Malmaison",NA,NA,NA,"France"
48.8705336,2.34565,"Blunomy Advisory","17-21 Rue Saint-Fiacre, 75002 Paris, France",NA,NA,NA,"France"
48.8346536,2.289455,"BONACIEUX ENERGIES","24 RUE AUGUSTE CHABRIERES, 75015, Paris, Frankreich","24 RUE AUGUSTE CHABRIERES","75015","PARIS","France"
48.8818615,2.3304162,"Borea","16 rue ballu 75009 Paris",NA,NA,NA,"France"
48.910935,2.34403,"BOSCH France","32 avenue Michelet 93400 Saint Ouen sur Seine",NA,NA,NA,"France"
48.894244,2.236518,"Bureau Veritas Exploitation","Le triangle de l'Arche, 8 cours du triangle 92937 La Défense Cedex",NA,NA,NA,"France"
48.889323,2.2513,"Bureau Veritas Marine & offshore","Tour Alto, 4 place des saisons, Courbevoie, 92400, France",NA,NA,NA,"France"
48.83716,2.370488,"Caisse des Dépôts","72, avenue Pierre Mendès France 75914 PARIS CEDEX 13",NA,NA,NA,"France"
48.875031,2.3128989,"CB TRD","135 Boulevard Haussmann-75008 Paris",NA,NA,NA,"France"
48.8949394,2.2914384,"CCI France - Réseau Chambre de Commerce et d'Industrie","8-10 Rue Pierre Brossolette, 92300 Levallois-Perret, France",NA,NA,NA,"France"
48.8476256,2.2640027,"Centre National de la Recherche Scientifique (CNRS)","CNRS Rue Michel-Ange 3, 75016, Ile-de-France France",NA,NA,NA,"France"
48.8719642,2.3338448,"Clean Horizon Consulting","12 rue de la Chaussée d’Antin 75009 Paris",NA,NA,NA,"France"
48.886425,2.251741,"Coénove","8 Terrasse Bellini 92800 Puteaux",NA,NA,NA,"France"
48.8399972,2.2737149,"Commissariat à l'énergie atomique et aux énergies alternatives (CEA)","Rue Leblanc 25, 75015, Paris, France",NA,NA,NA,"France"
48.8663333,2.3645359,"Conseil départemental de Loir-et-Cher","1 PLACE DE LA REPUBLIQUE",NA,NA,NA,"France"
48.876731,2.29747,"EIFER","22-30 avenue de Wagram 75008 PARIS, FRANCE",NA,NA,NA,"France"
48.842038,2.250509,"EIFFAGE ENERGIE SYSTEMES","3-7 Pl. de l'Europe, 78140 Vélizy-Villacoublay, France",NA,NA,NA,"France"
48.834484,2.256997,"ELLIPSE GROUP","305 Avenue le Jour se Lève, 92100 Boulogne",NA,NA,NA,"France"
48.8757693,2.2993555,"Eneralys","36 avenue Hoche 75008 Paris",NA,NA,NA,"France"
48.89559,2.239661,"ENGIE SOLUTIONS H2","FAUBOURG DE L ARCHE, 1 PLACE SAMUEL DE CHAMPLAIN, 92400, Hauts-de-Seine, Frankreich","FAUBOURG DE L ARCHE, 1 PLACE SAMUEL DE CHAMPLAIN","92400","COURBEVOIE","France"
48.856854,2.2652265,"ENRHEV","5 AVENUE INGRES, 75016, Paris, Frankreich","5 AVENUE INGRES","75016","PARIS","France"
48.8337779,2.3575561,"ENSAM","151 Bd de l'Hôpital, 75013 Paris",NA,NA,NA,"France"
48.89559,2.239661,"Equans France","1 Place Samuel Champlain 92400 COURBEVOIE",NA,NA,NA,"France"
48.8516411,2.3834581,"ERM FRANCE","13 RUE FAIDHERBE, Paris, 75011, France",NA,NA,NA,"France"
48.8845182,2.247274,"EVOLEN","13 Rue Jean Jaurès, 92800 Puteaux, France",NA,NA,NA,"France"
48.937581,2.301857,"EXIDE TECHNOLOGIES SAS","5 ALLEE DES PIERRES MAYETTES, 92230, Hauts-de-Seine, Frankreich","5 ALLEE DES PIERRES MAYETTES","92230","GENNEVILLIERS","France"
48.887341,2.216535,"Faurecia, a company of Forvia","Rue Hennape 2, Nanterre, 92000, France",NA,NA,NA,"France"
48.8755937,2.2854967,"FEDA","10 Rue Pergolèse 75116 Paris",NA,NA,NA,"France"
48.8459896,2.3795371,"FillnDrive","130 rue Charenton 75012 PARIS",NA,NA,NA,"France"
48.872416,2.340163,"FIVES","3 RUE DROUOT 750009 PARIS",NA,NA,NA,"France"
48.8608525,2.310079,"FNCCR","20 Bd de la Tour-Maubourg, 75007 Paris, France",NA,NA,NA,"France"
48.8718672,2.3029523,"FNTP","3 rue de Berri 75008 Paris",NA,NA,NA,"France"
48.8456409,2.3784003,"France Hydrogène","Avenue Daumesnil 50, Paris, 75012, France",NA,NA,NA,"France"
48.88927,2.303582,"France Nouvelles Energies","40 rue Philibert Delorme 75017 Paris",NA,NA,NA,"France"
48.8454723,2.3252535,"FRANCE SUPPLY CHAIN","140 bis rue de Rennes 75006 PARIS",NA,NA,NA,"France"
48.8675715,2.3224497,"Freget Glaser & Associés","7 rue Royale 75008 Paris",NA,NA,NA,"France"
48.9077068,2.232585,"Gazel Energie","9 rue du débarcadère 92700 Colombes",NA,NA,NA,"France"
48.8869625,2.2431841,"GESIP","1, rue du Général Leclerc – 92800 PUTEAUX",NA,NA,NA,"France"
48.8653429,2.3312506,"GH2","320 RUE SAINT HONORE, 75001, Paris, Frankreich","320 RUE SAINT HONORE","75001","PARIS","France"
48.8733214,2.328085,"GP JOULE FRANCE","16 RUE AUBER, 75009, Paris, Frankreich","16 RUE AUBER","75009","PARIS","France"
48.8795691,2.3484703,"GRDF","6 rue Condorcet 75009 Paris",NA,NA,NA,"France"
48.906533,2.263986,"GRTgaz","Immeuble Bora, 6 rue Raoul Nordling 92270 BOIS-COLOMBES",NA,NA,NA,"France"
48.888318,2.245292,"GULF AFRICA PETROLEUM CORPORATION","24 COURS MICHELET, 92800, Hauts-de-Seine, Frankreich","24 COURS MICHELET","92800","PUTEAUX","France"
48.8428024,2.3746727,"H2 CRETEIL","173 175 TOUR DE BERCY, 173 RUE DE BERCY, 75012, Paris, Frankreich","173 175 TOUR DE BERCY, 173 RUE DE BERCY","75012","PARIS","France"
48.845632,2.339672,"H2MINES - Carnot M.I.N.E.S","60, bd Saint-Michel - 75006 Paris",NA,NA,NA,"France"
48.8757693,2.2993555,"H2V 59 LOON PLAGE","36 AVENUE HOCHE, 75008, Paris, Frankreich","36 AVENUE HOCHE","75008","PARIS","France"
48.861757,2.3598,"Hinicio France","64-66 Rue des Archives 75003 Paris",NA,NA,NA,"France"
