Output T/year,Total consumption,Number Stations,FCEV Fleet,Worker,Number of Companies,Number of Valleys,Count Research,Value (€/kg),Country
12682.617892557688,12753.204588358527,1.3179901704293089,6.809615880551429,175.6221902097054,16.694542158771245,0.2196650284048848,0.4393300568097696,7.8420828176928445,Austria
35019.7376014398,32204.006858028097,0.8515859425642751,9.367445368207026,2243.2476899028134,7.153321917539911,0.17031718851285502,0.5109515655385651,7.071683376258907,Belgium
18793.191000789404,18796.13813285645,0.0,0.0,162.69342138526702,1.5509382400883416,0.0,0.3101876480176683,5.746097972330998,Bulgaria
16182.424929719615,16187.345053332469,0.5193599200601211,0.0,92.1863858106715,3.1161595203607266,0.0,0.25967996003006055,7.431893528339906,Croatia
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.859939570498021,Cyprus
9592.78098161667,9615.263400661679,0.7388574068931147,1.1082861103396722,180.74299316122818,3.417215506880656,0.0,0.09235717586163934,7.045748771783749,Czech Republic
4206.017425184979,4262.760964976275,0.8427931242914216,39.442718216838536,544.7814755419749,7.753696743481079,0.505675874574853,0.8427931242914216,7.575089890857034,Denmark
12.342825543405077,12.342825543405077,0.0,1.4642531869470612,0.0,7.321265934735306,0.7321265934735306,0.7321265934735306,7.15468246507482,Estonia
31710.413240817543,31696.273208254323,0.0,0.3594555685958048,559.4925925193701,6.829655803320291,0.3594555685958048,0.898638921489512,6.982302806140688,Finland
8109.1199030407615,8064.022371549654,1.5988739937233487,12.65897483103899,1233.7733175419344,12.145574924797549,0.05867427499902197,0.14668568749755492,6.94778506192378,France
20667.808141090572,20585.971441647056,2.0626171446515182,26.470253356361148,535.7114597763874,12.48238996159798,0.18966594433577177,0.21337418737774325,7.962367322071802,Germany
31357.59776970241,31355.510399491865,0.0,0.0,42.44293873371396,3.26484144105492,0.28807424479896354,0.28807424479896354,6.72298996187298,Greece
19584.394091584054,19570.469914626836,0.1041694445185205,0.0,9.479419451185365,1.875050001333369,0.1041694445185205,0.1041694445185205,8.351920946930706,Hungary
1491.8945918490267,1560.6347988530551,0.0,0.0,58.23885328266996,2.845546577329151,0.18970310515527672,0.18970310515527672,6.8031672288915725,Ireland
10304.101146940442,10301.20643454383,0.22034943657750816,1.1695470095267742,218.7900405648058,3.237441722023389,0.06779982663923328,0.35594908985597473,9.02881307105174,Italy
0.0,35.67683918496363,0.5310651893141187,5.310651893141187,0.0,1.593195567942356,0.0,0.0,7.064254084583327,Latvia
50288.03371436017,50288.03371436017,0.0,0.349983323294645,5.59973317271432,1.39993329317858,0.0,0.0,7.703295273218636,Lithuania
0.0,870.0853537103762,1.5132965804037173,15.132965804037173,0.0,7.566482902018587,1.5132965804037173,1.5132965804037173,7.574632821337812,Luxembourg
0.0,0.0,0.0,0.0,0.0,1.8448448577716858,0.0,0.0,6.607676712673576,Malta
54753.67688124627,55248.29184156724,1.6281806860603198,38.90790398068281,470.6003624330207,16.674815991721207,0.33686496952972134,0.3930091311180082,7.1563316128998204,Netherlands
28713.80022137356,28550.458022347088,1.6396477016511615,49.73598028341857,301.3308109478912,25.505630914573626,0.5465492338837206,1.0930984677674411,7.105372739917288,Norway
21348.4996184,21331.721384677046,0.4081217757019313,3.4010147975160945,208.19652184474523,3.781928454837897,0.05441623676025751,0.21766494704103004,6.825763448924735,Poland
10153.920467352214,9873.144307746572,0.19107003614854012,0.47767509037135036,43.85057329608996,3.057120578376642,0.47767509037135036,0.38214007229708025,6.299106001034528,Portugal
7050.005532107628,7020.911993488922,0.0,0.0,26.922706327119382,0.7347327262761625,0.10496181803945179,0.052480909019725894,8.68248618703739,Romania
19451.41527025372,19412.41062196364,0.0,0.552609125566056,28.183065403868856,2.947248669685632,0.184203041855352,0.184203041855352,8.035173596467853,Slovakia
872.236382909174,854.7137161946403,0.9447456083500395,0.0,963.6405205170404,6.140846454275257,0.47237280417501976,0.47237280417501976,7.203928677262526,Slovenia
12778.744850106532,12723.860812584087,0.6030941516691536,0.6030941516691536,117.39539607490937,9.711895476879128,0.14557445040289912,0.5615014515540395,6.386167296004626,Spain
16667.390164574594,16603.201226408033,2.0909454837288326,6.367879427719626,282.3726832799255,12.640715878906123,0.09504297653312875,0.28512892959938624,7.393565825421895,Sweden
2331.1285357619126,2331.1285357619126,2.2687608085182895,39.589876108644155,182.97555920700006,18.603838629849974,0.0,0.3403141212777434,7.331750536684316,Switzerland
0.0,0.0,0.0,0.0,1.1608878859859877,0.0,0.011726140262484724,0.05863070131242362,0.0,Turkey
8402.160701176177,8399.978755828359,0.2952604700765176,5.181821249842884,160.13451594599934,3.5431256409182117,0.05905209401530353,0.0738151175191294,7.056446495341596,United Kingdom
