Lat,Lon,Titel,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse
51.4582235,7.0158171,,[RWE Renewables GmbH](https://www.rwe.com/),RWE Renewables GmbH,https://www.rwe.com/,RWE Platz 4,45141,Essen,Nordrhein-Westfahlen,Wirtschaft,OffgridWind,Partner,www.rwe.com
51.434999,6.759562,,[Salzgitter Mannesmann Forschung GmbH](https://www.salzgitter-mannesmann-forschung.de/),Salzgitter Mannesmann Forschung GmbH,https://www.salzgitter-mannesmann-forschung.de/,Ehinger Str. 200,47259,Duisburg,Nordrhein-Westfahlen,Wirtschaft,H₂Wind,Partner,www.salzgitter-mannesmann-forschung.de
49.5978157,11.0038064,,[Siemens Energy Global GmbH & Co. KG - SE NEB TP](https://www.siemens-energy.com/),Siemens Energy Global GmbH & Co. KG - SE NEB TP,https://www.siemens-energy.com/,Freyeslebenstr. 1,91058,Erlangen,Bayern,Wirtschaft,"H₂Wind, TransferWind",Koordinator und Partner,www.siemens-energy.com
53.550341,10.000654,,[Siemens Gamesa Renewable Energy GmbH & Co. KG](https://www.siemens.com/),Siemens Gamesa Renewable Energy GmbH & Co. KG,https://www.siemens.com/,Beim Strohhause 17 - 31,20097,Hamburg,Hamburg,Wirtschaft,"OffgridWind, PtX-Wind",Koordinator und Partner,www.siemens.com
49.1640231,8.4930463,,[Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT)](https://www.kit.edu/),Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT),https://www.kit.edu/,Hermann-von-Helmholtz-Platz 1,76344,Eggenstein-Leopoldshafen,Baden-Württemberg,Wissenschaft,"PtX-Wind, TransferWind",Koordinator und Partner,www.kit.edu
53.395777,8.1372149,,[Stiftung der deutschen Wirtschaft für die Nutzung und Erforschung der Windenergie auf See (Offshore-Stiftung)](https://www.offshore-stiftung.de/),Stiftung der deutschen Wirtschaft für die Nutzung und Erforschung der Windenergie auf See (Offshore-Stiftung),https://www.offshore-stiftung.de/,Oldenburger Str. 65,26316,Varel,Niedersachsen,Wissenschaft,TransferWind,Partner,www.offshore-stiftung.de
52.5170365,13.3888599,,[Technische Universität Berlin](https://www.tu.berlin/),Technische Universität Berlin,https://www.tu.berlin/,Salzufer 17-19,10587,Berlin,Berlin,Wissenschaft,"PtX-Wind, TransferWind",Partner,www.tu.berlin
51.5142273,7.4652789,,[thyssenkrupp Industrial Solutions AG](https://www.thyssenkrupp-industrial-solutions.com/),thyssenkrupp Industrial Solutions AG,https://www.thyssenkrupp-industrial-solutions.com/,Friedrich-Uhde-Str. 15,44141,Dortmund,Nordrhein-Westfahlen,Wirtschaft,PtX-Wind,Partner,www.thyssenkrupp-industrial-solutions.com
48.7784485,9.1800132,,[Universität Stuttgart](https://www.uni-stuttgart.de/),Universität Stuttgart,https://www.uni-stuttgart.de/,Heßbrühlstr. 49 a,70565,Stuttgart,Baden-Württemberg,Wissenschaft,"PtX-Wind,TransferWind",Partner,www.uni-stuttgart.de
53.5138867,8.5973287,,[WindMW Service GmbH (assoziiert)](https://www.windmw.de/),WindMW Service GmbH (assoziiert),https://www.windmw.de/,Schleusenstr. 12,27568,Bremerhaven,Bremen,Wirtschaft,PtX-Wind,Partner,www.windmw.de
