Output T/year,Total consumption,Number Stations,FCEV Fleet,Worker,Number of Companies,Number of Valleys,Patent Count,Count Research,Value (€/kg),Country
12682.617892557688,12753.204588358527,0.549162571012212,6.809615880551429,175.6221902097054,15.815882045151707,0.2196650284048848,27.458128550610603,0.4393300568097696,31.368331270771375,Austria
35019.7376014398,32204.006858028097,0.7664273483078476,9.367445368207026,2243.2476899028134,7.068163323283484,0.17031718851285502,20.608379810055457,0.5109515655385651,28.286733505035627,Belgium
18793.191000789404,18796.13813285645,0.0,0.0,162.69342138526702,1.5509382400883416,0.0,192.93671706698967,0.3101876480176683,22.984391889323987,Bulgaria
16182.424929719615,16187.345053332469,0.0,0.0,92.1863858106715,2.5967996003006055,0.0,22.072796602555147,0.25967996003006055,29.72757411335962,Croatia
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82803989558004,Cyprus
9592.78098161667,9615.263400661679,0.18471435172327869,1.1082861103396722,180.74299316122818,2.8630724517108197,0.0,154.32884086479933,0.09235717586163934,28.18299508713499,Czech Republic
4206.017425184979,4262.760964976275,1.011351749149706,39.442718216838536,544.7814755419749,7.922255368339363,0.505675874574853,65.73786369473089,0.8427931242914216,30.30035956342813,Denmark
12.342825543405077,12.342825543405077,0.0,1.4642531869470612,0.0,7.321265934735306,0.7321265934735306,2.196379780420592,0.7321265934735306,28.61872986029928,Estonia
31710.413240817543,31696.273208254323,0.0,0.3594555685958048,559.4925925193701,6.829655803320291,0.3594555685958048,63.08445228856374,0.898638921489512,27.929211224562756,Finland
8109.1199030407615,8064.022371549654,0.4400570624926648,12.65897483103899,1233.7733175419344,11.00142656231662,0.05867427499902197,81.36655085489372,0.14668568749755492,27.79114024769512,France
20667.808141090572,20585.971441647056,1.1617039090566021,26.470253356361148,535.7114597763874,11.249561323415463,0.18966594433577177,154.3288080817133,0.21337418737774325,31.849469288287207,Germany
31357.59776970241,31355.510399491865,0.0,0.0,42.44293873371396,3.26484144105492,0.28807424479896354,26.310781024972,0.28807424479896354,26.89195984749192,Greece
19584.394091584054,19570.469914626836,0.0,0.0,9.479419451185365,1.7708805568148485,0.1041694445185205,95.94005840155738,0.1041694445185205,33.407683787722824,Hungary
1491.8945918490267,1560.6347988530551,0.0,0.0,58.23885328266996,2.845546577329151,0.18970310515527672,57.29033775689357,0.18970310515527672,27.21266891556629,Ireland
10304.101146940442,10301.20643454383,0.01694995665980832,1.1695470095267742,218.7900405648058,3.034042242105689,0.06779982663923328,11.271721178772532,0.35594908985597473,36.11525228420696,Italy
0.0,35.67683918496363,0.0,5.310651893141187,0.0,1.0621303786282374,0.0,50.45119298484128,0.0,28.257016338333308,Latvia
50288.03371436017,50288.03371436017,0.0,0.349983323294645,5.59973317271432,1.39993329317858,0.0,43.39793208853598,0.0,30.813181092874547,Lithuania
0.0,870.0853537103762,1.5132965804037173,15.132965804037173,0.0,7.566482902018587,1.5132965804037173,139.22328539714198,1.5132965804037173,30.29853128535125,Luxembourg
0.0,0.0,0.0,0.0,0.0,1.8448448577716858,0.0,0.0,0.0,13.818988464282263,Malta
54753.67688124627,55248.29184156724,1.2351715549423115,38.90790398068281,470.6003624330207,16.22566269901491,0.33686496952972134,41.65896789850887,0.3930091311180082,28.625326451599285,Netherlands
28713.80022137356,28550.458022347088,0.7287323118449607,49.73598028341857,301.3308109478912,24.594715524767423,0.5465492338837206,14.574646236899214,1.0930984677674411,15.80977257325711,Norway
21348.4996184,21331.721384677046,0.05441623676025751,3.4010147975160945,208.19652184474523,3.428222915896223,0.05441623676025751,39.12527423062515,0.21766494704103004,27.30305379569894,Poland
10153.920467352214,9873.144307746572,0.0,0.47767509037135036,43.85057329608996,2.866050542228102,0.47767509037135036,32.386371127177554,0.38214007229708025,25.196424004138112,Portugal
7050.005532107628,7020.911993488922,0.0,0.0,26.922706327119382,0.7347327262761625,0.10496181803945179,32.748087228308954,0.052480909019725894,34.72994474814956,Romania
19451.41527025372,19412.41062196364,0.0,0.552609125566056,28.183065403868856,2.947248669685632,0.184203041855352,179.59796580896818,0.184203041855352,32.14069438587141,Slovakia
872.236382909174,854.7137161946403,0.0,0.0,963.6405205170404,5.196100845925217,0.47237280417501976,80.30337670975337,0.47237280417501976,28.815714709050106,Slovenia
12778.744850106532,12723.860812584087,0.06238905017267106,0.6030941516691536,117.39539607490937,9.171190375382645,0.14557445040289912,513.7530318218886,0.5615014515540395,25.544669184018503,Spain
16667.390164574594,16603.201226408033,0.380171906132515,6.367879427719626,282.3726832799255,11.310114207442322,0.09504297653312875,24.996302828212862,0.28512892959938624,29.57426330168758,Sweden
2331.1285357619126,2331.1285357619126,1.3612564851109736,39.589876108644155,182.97555920700006,17.696334306442658,0.0,135.78533438981964,0.3403141212777434,0.0,Switzerland
0.0,0.0,0.0,0.0,1.1608878859859877,0.0,0.011726140262484724,0.2462489455121792,0.05863070131242362,0.0,Turkey
8402.160701176177,8399.978755828359,0.13286721153443296,5.181821249842884,160.13451594599934,3.3807323823761273,0.05905209401530353,1172.715535049913,0.0738151175191294,5.763128323735013,United Kingdom
