Country,Number Stations
Germany,98
France,30
Netherlands,22
Switzerland,12
United Kingdom,9
Belgium,9
Denmark,6
Austria,5
Norway,4
Sweden,4
Spain,3
Czech Republic,2
Poland,2
Italy,1
Iceland,1
Luxembourg,1
