Country,Count Research
Spain,27
Italy,21
Germany,18
France,10
Poland,8
Netherlands,7
Norway,6
Belgium,6
Denmark,5
United Kingdom,5
Turkey,5
Finland,5
Portugal,4
Austria,4
Sweden,3
Greece,3
Switzerland,3
Bulgaria,2
Romania,1
Morocco,1
Ethiopia,1
Luxembourg,1
Ireland,1
Slovakia,1
Hungary,1
Czechia,1
Slovenia,1
Estonia,1
Croatia,1
