LAT,LON,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Mehrere Partner
51.3572448,6.7090193,,[Salzgitter Mannesmann Forschung GmbH](www.salzgitter-mannesmann-forschung.de),Salzgitter Mannesmann Forschung GmbH,https://www.salzgitter-mannesmann-forschung.de/,Ehinger Str. 200,47259,Duisburg,Nordrhein-Westfalen,Wirtschaft,Sichere Infrastruktur,Partner,www.salzgitter-mannesmann-forschung.de,
52.1767953,10.4376454,,[Salzgitter Mannesmann Forschung GmbH](www.salzgitter-mannesmann-forschung.de),Salzgitter Mannesmann Forschung GmbH,https://www.salzgitter-mannesmann-forschung.de/,Eisenhüttenstr. 99,38239,Salzgitter,Niedersachsen,Wirtschaft,Systemanalyse,Partner,www.salzgitter-mannesmann-forschung.de,
54.2970422,9.6627735,,"[SCHIFFSDIESELTECHNIK KIEL GmbH, Rendsburg](www.sdt-kiel.de)","SCHIFFSDIESELTECHNIK KIEL GmbH, Rendsburg",https://www.sdt-kiel.de/,Kieler Str. 177,24768,Rendsburg,Schleswig-Holstein,Wirtschaft,Campfire,Partner,www.sdt-kiel.de,
51.0396432,13.7303028,,[ScIDre Scientific Instruments Dresden GmbH](www.scidre.de),ScIDre Scientific Instruments Dresden GmbH,https://www.scidre.de/,Gutzkowstr. 30,01069,Dresden,Sachsen,Wirtschaft,Flüssig Wasserstoff,Partner,www.scidre.de,
49.0958308,8.397572,,[Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT)](www.kit.edu),Sondervermögen Großforschung beim Karlsruher Institut für Technologie (KIT),https://www.kit.edu/,Hermann-von-Helmholtz-Platz 1,76344,Eggenstein-Leopoldshafen,Baden-Württemberg,Wissenschaft,"Normung, Flüssig Wasserstoff",Koordinator,www.kit.edu,
52.5094427,13.3257361,,[Technische Universität Berlin](www.tu.berlin),Technische Universität Berlin,https://www.tu.berlin/,Straße des 17. Juni 135,10623,Berlin,Berlin,Wissenschaft,Derivate,Partner,www.tu.berlin,
51.0275223,13.7017131,,"[Technische Universität Dresden - Fakultät Maschinenwesen - Institut für Energietechnik - Bitzer-Stiftungsprofessur für Kälte-, Kryo- und Kompressorentechnik](www.tu-dresden.de)","Technische Universität Dresden - Fakultät Maschinenwesen - Institut für Energietechnik - Bitzer-Stiftungsprofessur für Kälte-, Kryo- und Kompressorentechnik",https://www.tu-dresden.de/,Münchner Platz 3,01187,Dresden,Sachsen,Wissenschaft,Flüssig Wasserstoff,Partner,www.tu-dresden.de,
53.4602573,10.0162978,,[Tewis Projektmanagement GmbH](www.tewis-projektmanagement.de),Tewis Projektmanagement GmbH,https://www.tewis-projektmanagement.de/,Harburger Schloßstr.,21079,Hamburg,Hamburg,Wirtschaft,Helgoland,Koordinator,www.tewis-projektmanagement.de,
48.2397809,11.7104953,,[Theva Dünnschichttechnik GmbH](www.theva.com),Theva Dünnschichttechnik GmbH,https://www.theva.com/,Rote-Kreuz-Str. 8,85737,Ismaning,Bayern,Wirtschaft,Flüssig Wasserstoff,Partner,www.theva.com,
48.1465686,11.5511177,,[Thüga Aktiengesellschaft](www.thuega.de),Thüga Aktiengesellschaft,https://www.thuega.de/,Nymphenburger Str. 39,80335,München,Bayern,Wirtschaft,Sichere Infrastruktur,Partner,www.thuega.de,
51.2051079,6.7473776,,[Uniper Hydrogen GmbH](www.uniper.energy),Uniper Hydrogen GmbH,https://www.uniper.energy,Holzstraße 6,40221,Düsseldorf,Nordrhein-Westfalen,Wirtschaft,LNG-Terminals,Partner,www.uniper.energy,
51.3002063,9.4799194,,[Universität Kassel - Fachbereich 16 Elektrotechnik / Informatik](www.uni-kassel.de),Universität Kassel - Fachbereich 16 Elektrotechnik / Informatik,https://www.uni-kassel.de/,Wilhelmshöher Allee 71-73,34121,Kassel,Hessen,Wissenschaft,Systemanalyse,Partner,www.uni-kassel.de,
52.4749704,12.9797123,,[Universität Potsdam - Mathematisch-Naturwissenschaftliche Fakultät - Institut für Chemie](www.uni-potsdam.de),Universität Potsdam - Mathematisch-Naturwissenschaftliche Fakultät - Institut für Chemie,https://www.uni-potsdam.de/,"Karl-Liebknecht-Str. 24-25, Haus 25",14476,Potsdam,Brandenburg,Wissenschaft,GetH2,Partner,www.uni-potsdam.de,
54.0523594,12.1043263,,[Universität Rostock](www.uni-rostock.de),Universität Rostock,https://www.uni-rostock.de/,Albert-Einstein-Str. 2,18059,Rostock,Mecklenburg-Vorpommern,Wissenschaft,Campfire,Partner,www.uni-rostock.de,
51.2380348,6.8105055,,[VDEh-Betriebsforschungsinstitut Gesellschaft mit beschränkter Haftung](www.bfi.de),VDEh-Betriebsforschungsinstitut Gesellschaft mit beschränkter Haftung,https://www.bfi.de/,Sohnstr. 69,40237,Düsseldorf,Nordrhein-Westfalen,Wirtschaft,Systemanalyse,Partner,www.bfi.de,
49.4527271,7.8027787,,[Vision Electric Super Conductors GmbH](www.vesc-superbar.de),Vision Electric Super Conductors GmbH,https://www.vesc-superbar.de/,Morlauterer Str. 21,67657,Kaiserslautern,Rheinland-Pfalz,Wirtschaft,Flüssig Wasserstoff,Partner,www.vesc-superbar.de,
51.3626005,12.4342458,,[VNG AG](www.vng.de),VNG AG,https://www.vng.de/,Braunstr. 7,04347,Leipzig,Sachsen,Wirtschaft,Systemanalyse,Partner,www.vng.de,
51.4152346,6.7945849,,[Zentrum für Brennstoffzellen-Technik GmbH](www.zbt.de),Zentrum für Brennstoffzellen-Technik GmbH,https://www.zbt.de/,Carl-Benz-Str. 201,47057,Duisburg,Nordrhein-Westfalen,Wissenschaft,Campfire,Partner,www.zbt.de,
48.3440866,9.9528298,,[ZwickRoell GmbH & Co. KG](www.zwickroell.com),ZwickRoell GmbH & Co. KG,https://www.zwickroell.com/,August-Nagel-Str. 11,89079,Ulm,Baden-Württemberg,Wirtschaft,Normung,Partner,www.zwickroell.com,
