Lat,Lon,Title,Partner,Partner ohne Markdown,Website,Straße,PLZ,Ort,Land,Partner aus…,Beteiligt in…,Funktion als…,Webadresse,Column 1
49.0532906,8.5245089,,[EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV](https://www.eifer.kit.edu/),EIfER Europäisches Institut für Energieforschung EDF-KIT EWIV,https://www.eifer.kit.edu/,Emmy-Noether-Str. 11,76131,Karlsruhe,Baden-Württemberg,Wissenschaft,"Degrad-EL3, HTEL-Stacks",Partner,www.eifer.kit.edu,
47.8075299,9.6431145,,[EKS InTec GmbH](https://www.eks-intec.de/),EKS InTec GmbH,https://www.eks-intec.de/,Danziger Str. 3,88250,Weingarten,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.eks-intec.de,
52.6163714,13.4855946,,[Enapter GmbH](https://www.enapter.com/),Enapter GmbH,https://www.enapter.com/,Reinhardtstr. 35,10117,Berlin,Berlin,Wirtschaft,HY-Core,Koordinator,www.enapter.com,
54.1506435,9.08263,,[Entwicklungsagentur Region Heide AöR](https://www.region-heide.de/),Entwicklungsagentur Region Heide AöR,https://www.region-heide.de/,Hamburger Hof 3,25746,Heide,Schleswig-Holstein,Wirtschaft,"HyPLANT100, SYSTOGEN100",Koordinator und Partner,www.region-heide.de,
49.1708959,8.6415885,,ESSERT GmbH,ESSERT GmbH,https://www.essert.com/,Großer Sand 18,76698,Ubstadt-Weiher,Baden-Württemberg,Wirtschaft,FertiRob,Partner,www.essert.com,
54.1722571,9.1797518,,[Fachhochschule Westküste - Hochschule für Wirtschaft und Technik](https://www.fh-westkueste.de/),Fachhochschule Westküste - Hochschule für Wirtschaft und Technik,https://www.fh-westkueste.de/,Fritz-Thiedemann-Ring 20,25746,Heide,Schleswig-Holstein,Wissenschaft,SYSTOGEN100,Partner,www.fh-westkueste.de,
51.9302951,10.342968,,[Fest GmbH](https://www.fest-group.de/),Fest GmbH,https://www.fest-group.de/,Harzburger Str. 14,38642,Goslar,Niedersachsen,Wirtschaft,HyPLANT100,Partner,www.fest-group.de,
50.5542328,9.6770448,,[FFT Produktionssysteme GmbH & Co. KG](https://www.fft.de/),FFT Produktionssysteme GmbH & Co. KG,https://www.fft.de/,Schleyerstr. 1,36041,Fulda,Hessen,Wirtschaft,FertiRob,Partner,www.fft.de,
52.1294289,7.3903454,,[FH Münster](https://www.fh-muenster.de/),FH Münster,https://www.fh-muenster.de/,Stegerwaldstr. 39,48565,Steinfurt,Nordrhein-Westfalen,Wissenschaft,HY-Core,Partner,www.fh-muenster.de,
48.8425793,9.3305129,,[Fichtner IT Consulting GmbH](https://www.fit.fichtner.de/),Fichtner IT Consulting GmbH,https://www.fit.fichtner.de/,Sarweystr. 3,70191,Stuttgart,Baden-Württemberg,Wirtschaft,SYSTOGEN100,Partner,www.fit.fichtner.de,
50.776351,6.083862,,[Forschungsinstitut für Rationalisierung e. V.](https://www.fir.rwth-aachen.de/),Forschungsinstitut für Rationalisierung e. V.,https://www.fir.rwth-aachen.de/,Campus-Boulevard 55,52074,Aachen,Nordrhein-Westfalen,Wissenschaft,SEGIWA,Partner,www.fir.rwth-aachen.de,
