Unnamed: 0,Name des Unternehmens,"Anzahl der Mitarbeiter 
Letztes verf. Jahr",Adresse,Postleitzahl,Ort,Region,Land,Länderkürzel,Full Address,Latitude,Longitude,Country
1.0,SHELL TRADING ROTTERDAM B.V.,n.v.,WEENA 505,3013 AL,ROTTERDAM,Rotterdam,Niederlande,NL,"WEENA 505, 3013 AL, Rotterdam, Niederlande",51.9237047,4.471875,Netherlands
2.0,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,67778,75 QUAI D ORSAY,75007,PARIS,Paris,Frankreich,FR,"75 QUAI D ORSAY, 75007, Paris, Frankreich",48.8622331,2.3047133,France
3.0,ESSO NEDERLAND B.V.,826,BOTLEKWEG 121 HAVENNUMMER,3197 KA,BOTLEK ROTTERDAM,Rotterdam,Niederlande,NL,"BOTLEKWEG 121 HAVENNUMMER, 3197 KA, Rotterdam, Niederlande",51.870317,4.300543,Netherlands
4.0,SEEHG SECURING ENERGY FOR EUROPE HOLDING GMBH,1362,MARKGRAFENSTR. 23,10117,BERLIN,Berlin,Deutschland,DE,"MARKGRAFENSTR. 23, 10117, Berlin, Deutschland",52.5083233,13.3943543,Germany
5.0,NORSK HYDRO ASA,404,DRAMMENSVEIEN 264,0283,OSLO,Oslo,Norwegen,NO,"DRAMMENSVEIEN 264, 0283, Oslo, Norwegen",59.913821,10.650463,Norway
6.0,SHELL DEUTSCHLAND GMBH,2689,SUHRENKAMP 71-77,22335,HAMBURG,"Hamburg, Freie und Hansestadt",Deutschland,DE,"SUHRENKAMP 71-77, 22335, Hamburg, Freie und Hansestadt, Deutschland",53.6212995,10.0152091,Germany
7.0,SOLVAY,22047,RANSBEEKSTRAAT 310,1120,BRUSSEL,Brussels-Capital Region,Belgien,BE,"RANSBEEKSTRAAT 310, 1120, Brussels-Capital Region, Belgien",50.901131,4.400383,Belgium
8.0,"PETROL, SLOVENSKA ENERGETSKA DRUŽBA, D.D., LJUBLJANA",1962,DUNAJSKA CESTA 50,1000,LJUBLJANA,Osrednjeslovenska,Slovenien,SI,"DUNAJSKA CESTA 50, 1000, Osrednjeslovenska, Slovenien",46.0647094,14.5092881,Slovenia
9.0,JET TANKSTELLEN DEUTSCHLAND GMBH,257,CAFFAMACHERREIHE 1,20355,HAMBURG,"Hamburg, Freie und Hansestadt",Deutschland,DE,"CAFFAMACHERREIHE 1, 20355, Hamburg, Freie und Hansestadt, Deutschland",53.5543815,9.9844534,Germany
10.0,SHELL FRANCE,n.v.,"11 13 TOUR PACIFIC, 11 COURS VALMY",92800,PUTEAUX,Hauts-de-Seine,Frankreich,FR,"11 13 TOUR PACIFIC, 11 COURS VALMY, 92800, Hauts-de-Seine, Frankreich",48.892065,2.232525,France
11.0,CHIMET - S.P.A.-,149,VIA DEI LAGHI 31/33,52041,CIVITELLA IN VAL DI CHIANA,Arezzo,Italien,IT,"VIA DEI LAGHI 31/33, 52041, Arezzo, Italien",43.408606,11.777862,Italy
12.0,AS 24,n.v.,"PARC TERTIAIRE AR MOR, 1 BOULEVARD DU ZENITH",44800,ST HERBLAIN,Loire-Atlantique,Frankreich,FR,"PARC TERTIAIRE AR MOR, 1 BOULEVARD DU ZENITH, 44800, Loire-Atlantique, Frankreich",47.231396,-1.628699,France
13.0,DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH,10,BÜTZFLETHER SAND,21683,STADE,Stade,Deutschland,DE,"BÜTZFLETHER SAND, 21683, Stade, Deutschland",53.6465124,9.4482207,Germany
14.0,ARKEMA FRANCE,5601,420 RUE D ESTIENNE D ORVES,92700,COLOMBES,Hauts-de-Seine,Frankreich,FR,"420 RUE D ESTIENNE D ORVES, 92700, Hauts-de-Seine, Frankreich",48.9086455,2.2295618,France
15.0,STADTWERKE DÜSSELDORF AG,1093,HÖHERWEG,40233,DÜSSELDORF,Düsseldorf,Deutschland,DE,"HÖHERWEG, 40233, Düsseldorf, Deutschland",51.221333,6.81341,Germany
16.0,ENVIA MITTELDEUTSCHE ENERGIE AG,618,CHEMNITZTALSTR. 13,09114,CHEMNITZ,"Chemnitz, Stadt",Deutschland,DE,"CHEMNITZTALSTR. 13, 09114, Chemnitz, Stadt, Deutschland",50.857915,12.92671,Germany
17.0,AIR LIQUIDE INDUSTRIEGASE GMBH & CO. KG,4389,HANS-BÖCKLER-STR.,40476,DÜSSELDORF,Düsseldorf,Deutschland,DE,"HANS-BÖCKLER-STR., 40476, Düsseldorf, Deutschland",51.247092,6.775832,Germany
18.0,TECHNIP ENERGIES FRANCE,2524,"IMMEUBLE ORIGINE, 2126 BOULEVARD DE LA DEFENSE",92000,NANTERRE,Hauts-de-Seine,Frankreich,FR,"IMMEUBLE ORIGINE, 2126 BOULEVARD DE LA DEFENSE, 92000, Hauts-de-Seine, Frankreich",48.896639,2.22859,France
19.0,YARA SLUISKIL B.V.,705,INDUSTRIEWEG 10,4541 HJ,SLUISKIL,Terneuzen,Niederlande,NL,"INDUSTRIEWEG 10, 4541 HJ, Terneuzen, Niederlande",51.2718292,3.8489673,Netherlands
20.0,GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.,4744,ALEJA TYSIĄCLECIA PAŃSTWA POLSKIEGO 13,24-110,PUŁAWY,Puławski,Polen,PL,"ALEJA TYSIĄCLECIA PAŃSTWA POLSKIEGO 13, 24-110, Puławski, Polen",51.450864,21.984228,Poland
21.0,SOLVAY CHEMICALS INTERNATIONAL,45,RUE DE RANSBEEK 310,1120,BRUXELLES,Brussels-Capital Region,Belgien,BE,"RUE DE RANSBEEK 310, 1120, Brussels-Capital Region, Belgien",50.901131,4.400383,Belgium
22.0,KEM ONE,n.v.,"IMMEUBLE LE QUADRILLE, 19 RUE JACQUELINE AURIOL",69008,LYON,Rhône,Frankreich,FR,"IMMEUBLE LE QUADRILLE, 19 RUE JACQUELINE AURIOL, 69008, Rhône, Frankreich",45.7341481,4.8753049,France
23.0,NOBIAN COÖPERATIEF U.A.,1578,VAN ASCH VAN WIJCKSTRAAT 53,3811 LP,AMERSFOORT,Amersfoort,Niederlande,NL,"VAN ASCH VAN WIJCKSTRAAT 53, 3811 LP, Amersfoort, Niederlande",52.1547893,5.3811031,Netherlands
24.0,NOBIAN HOLDING B.V.,1572,VAN ASCH VAN WIJCKSTRAAT 53,3811 LP,AMERSFOORT,Amersfoort,Niederlande,NL,"VAN ASCH VAN WIJCKSTRAAT 53, 3811 LP, Amersfoort, Niederlande",52.1547893,5.3811031,Netherlands
25.0,AIR LIQUIDE FRANCE INDUSTRIE,2386,6 RUE COGNACQ JAY,75007,PARIS,Paris,Frankreich,FR,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich",48.8618312,2.3045629,France
26.0,MESSER SE & CO. KGAA,5300,,65812,SULZBACH,Main-Taunus,Deutschland,DE,"nan, 65812, Main-Taunus, Deutschland",,,Germany
27.0,MESSER INDUSTRIE GMBH,5330,,,KÖNIGSTEIN IM TAUNUS,Main-Taunus,Deutschland,DE,"nan, nan, Main-Taunus, Deutschland",50.736636,7.0963418,Germany
28.0,INEOS KÖLN GMBH,15,ALTE STR. 201,50769,KÖLN,Köln,Deutschland,DE,"ALTE STR. 201, 50769, Köln, Deutschland",51.0672984,6.8466247,Germany
29.0,SOL S.P.A.,5426,VIA GEROLAMO BORGAZZI 27,20900,MONZA,Monza e della Brianza,Italien,IT,"VIA GEROLAMO BORGAZZI 27, 20900, Monza e della Brianza, Italien",45.5702884,9.2655581,Italy
30.0,SHELL AUSTRIA GESELLSCHAFT M.B.H.,86,TECH GATE DONAU-CITY-STRAßE 1,1220,WIEN,Wien,Österreich,AT,"TECH GATE DONAU-CITY-STRAßE 1, 1220, Wien, Österreich",48.23265325,16.41360576954463,Austria
31.0,AIR LIQUIDE INDUSTRIE B.V.,176,WEENA 312,3012 NJ,ROTTERDAM,Rotterdam,Niederlande,NL,"WEENA 312, 3012 NJ, Rotterdam, Niederlande",51.9232371,4.473656,Netherlands
32.0,SHELL INTERNATIONAL B.V.,797,CAREL VAN BYLANDTLAAN 30,2596 HR,'S-GRAVENHAGE,S Gravenhage,Niederlande,NL,"CAREL VAN BYLANDTLAAN 30, 2596 HR, S Gravenhage, Niederlande",52.0936744,4.3130672,Netherlands
33.0,AIR LIQUIDE INDUSTRIES BELGIUM,258,AVENUE DU BOURGET 44,1130,BRUXELLES,Brussels-Capital Region,Belgien,BE,"AVENUE DU BOURGET 44, 1130, Brussels-Capital Region, Belgien",50.8775347,4.4331478,Belgium
34.0,SHELL ERDGAS BETEILIGUNGSGESELLSCHAFT MBH,3,SUHRENKAMP 71-77,22335,HAMBURG,"Hamburg, Freie und Hansestadt",Deutschland,DE,"SUHRENKAMP 71-77, 22335, Hamburg, Freie und Hansestadt, Deutschland",53.6212995,10.0152091,Germany
35.0,HYDRO ENERGI AS,312,VÆKERØ DRAMMENSVEIEN 264,0283,OSLO,Oslo,Norwegen,NO,"VÆKERØ DRAMMENSVEIEN 264, 0283, Oslo, Norwegen",59.9199739,10.6739503,Norway
36.0,INEOS,460,NIEUWE WEG 1,2070,ZWIJNDRECHT,Antwerp,Belgien,BE,"NIEUWE WEG 1, 2070, Antwerp, Belgien",51.237048,4.319297,Belgium
37.0,CAMPA IBERIA SOCIEDAD ANONIMA,14,"CALLE VIA LAIETANA, 47 P. 3 PTA. 1",08003,BARCELONA,Barcelona,Spanien,ES,"CALLE VIA LAIETANA, 47 P. 3 PTA. 1, 08003, Barcelona, Spanien",41.3868431,2.1747496,Spain
38.0,TOPSOE A/S,2242,HALDOR TOPSØES ALLÉ 1,2800,KGSLYNGBY,Lyngby-Tårbæk,Dänemark,DK,"HALDOR TOPSØES ALLÉ 1, 2800, Lyngby-Tårbæk, Dänemark",55.801477,12.525856,Denmark
39.0,SERICA ENERGY (UK) LIMITED,n.v.,FIRST FLOOR 48 GEORGE STREET,W1U 7DY,LONDON,London W1U,Vereinigtes Königreich,GB,"FIRST FLOOR 48 GEORGE STREET, W1U 7DY, London W1U, Vereinigtes Königreich",51.5177622,-0.1544287302003685,United Kingdom
40.0,AIR PRODUCTS IBERICA S.L.,2364,"AVENIDA FAMA, 1",08940,CORNELLA DE LLOBREGAT,Barcelona,Spanien,ES,"AVENIDA FAMA, 1, 08940, Barcelona, Spanien",41.3540228,2.0813001,Spain
41.0,INOVYN MANUFACTURING BELGIUM,677,RUE SOLVAY 39,5190,JEMEPPE-SUR-SAMBRE,Namur,Belgien,BE,"RUE SOLVAY 39, 5190, Namur, Belgien",50.4471148,4.660150340071567,Belgium
42.0,TOTALENERGIES MARKETING SERVICES,1110,"TOUR TOTAL, 24 COURS MICHELET",92800,PUTEAUX,Hauts-de-Seine,Frankreich,FR,"TOUR TOTAL, 24 COURS MICHELET, 92800, Hauts-de-Seine, Frankreich",48.888318,2.245292,France
43.0,EVONIK ANTWERPEN,1062,TIJSMANSTUNNEL-WEST,2040,LILLO,Antwerp,Belgien,BE,"TIJSMANSTUNNEL-WEST, 2040, Antwerp, Belgien",51.309005,4.321755,Belgium
44.0,VOSS HOLDING GMBH + CO. KG,6307,LEIERSMÜHLE,51688,WIPPERFÜRTH,Oberbergischer Kreis,Deutschland,DE,"LEIERSMÜHLE, 51688, Oberbergischer Kreis, Deutschland",51.121742,7.409916,Germany
45.0,AIR LIQUIDE LARGE INDUSTRY,57,AVENUE DU BOURGET 44,1130,BRUXELLES,Brussels-Capital Region,Belgien,BE,"AVENUE DU BOURGET 44, 1130, Brussels-Capital Region, Belgien",50.8775347,4.4331478,Belgium
46.0,ORLEN UNIPETROL SLOVAKIA S. R. O.,54,"KALINČIAKOVA 14083/33A, BRATISLAVA 3",83104,BRATISLAVA-NOVÉ MESTO,Bratislava III,Slowakei (Slowakische Republik),SK,"KALINČIAKOVA 14083/33A, BRATISLAVA 3, 83104, Bratislava III, Slowakei (Slowakische Republik)",48.162409,17.1374213,Slovakia
47.0,AIR LIQUIDE ITALIA PRODUZIONE SRL,234,VIA BISCEGLIE 66,20152,MILANO,Milano,Italien,IT,"VIA BISCEGLIE 66, 20152, Milano, Italien",,,Italy
48.0,CG CHEMIKALIEN GMBH & CO. HOLDING KG,821,ULMER STR. 1,30880,LAATZEN,Hannover,Deutschland,DE,"ULMER STR. 1, 30880, Hannover, Deutschland",52.322758,9.791467,Germany
49.0,SHELL INTERNATIONAL LIMITED,943,SHELL CENTRE,SE1 7NA,LONDON,London SE1,Vereinigtes Königreich,GB,"SHELL CENTRE, SE1 7NA, London SE1, Vereinigtes Königreich",51.5038502,-0.1167733632104527,United Kingdom
50.0,АКЦИОНЕРНОЕ ОБЩЕСТВО ТРАНСНЕФТЬ-ПРИВОЛГА,7189,УЛ. ЛЕНИНСКАЯ Д.100,443020,САМАРА,Самарская область,Russische Föderation,RU,"УЛ. ЛЕНИНСКАЯ Д.100, 443020, Самарская область, Russische Föderation",52.256653,25.131889,Russia
51.0,ANQORE TOPCO B.V.,158,MAURITSLAAN 49,6129 EL,URMOND,Stein,Niederlande,NL,"MAURITSLAAN 49, 6129 EL, Stein, Niederlande",50.9889329,5.7790094,Netherlands
52.0,EG DEUTSCHLAND RETAIL & ENERGY GMBH,35,HAIMINGER STR. 1,84489,BURGHAUSEN,"Hamburg, Freie und Hansestadt",Deutschland,DE,"HAIMINGER STR. 1, 84489, Hamburg, Freie und Hansestadt, Deutschland",48.1989212,12.836394534140783,Germany
53.0,NOURYON PULP AND PERFORMANCE CHEMICALS AB,718,BOX 47067,402 58,GÖTEBORG,Västra Götaland,Schweden,SE,"BOX 47067, 402 58, Västra Götaland, Schweden",31.102232,-97.693503,Sweden
54.0,INOVYN CHLORVINYLS LIMITED,609,BANKES LANE OFFICE BANKES LANE,WA7 4EL,RUNCORN,Runcorn,Vereinigtes Königreich,GB,"BANKES LANE OFFICE BANKES LANE, WA7 4EL, Runcorn, Vereinigtes Königreich",53.31938775,-2.7409214911639466,United Kingdom
55.0,VAISALA OYJ,2327,VANHA NURMIJÄRVENTIE 21,01670,VANTAA,Uusimaa,Finnland,FI,"VANHA NURMIJÄRVENTIE 21, 01670, Uusimaa, Finnland",60.28173365,24.877381757042865,Finland
56.0,TREIBACHER INDUSTRIE AG,650,AUER-VON-WELSBACH-STRAßE 1,9330,ALTHOFEN,Kärnten,Österreich,AT,"AUER-VON-WELSBACH-STRAßE 1, 9330, Kärnten, Österreich",46.868858,14.462174,Austria
57.0,KT - KINETICS TECHNOLOGY S.P.A. IN BREVE KT S.P.A,729,VLE CASTELLO DELLA MAGLIANA 27,00148,ROMA,Roma,Italien,IT,"VLE CASTELLO DELLA MAGLIANA 27, 00148, Roma, Italien",,,Italy
58.0,ASCEND PERFORMANCE MATERIALS EUROPEAN LIMITED,n.v.,"3RD FLOOR, 1 ASHLEY ROAD",WA14 2DT,ALTRINCHAM,Altrincham,Vereinigtes Königreich,GB,"3RD FLOOR, 1 ASHLEY ROAD, WA14 2DT, Altrincham, Vereinigtes Königreich",53.3842167,-2.3520084,United Kingdom
59.0,ORSTED HORNSEA 1 HOLDINGS LIMITED,n.v.,5 HOWICK PLACE,SW1P 1WG,LONDON,London SW1P,Vereinigtes Königreich,GB,"5 HOWICK PLACE, SW1P 1WG, London SW1P, Vereinigtes Königreich",51.4967767,-0.1360237,United Kingdom
60.0,HEXAGON COMPOSITES ASA,15,KORSEGATA 4B,6002,ÅLESUND,Ålesund,Norwegen,NO,"KORSEGATA 4B, 6002, Ålesund, Norwegen",62.4717804,6.1558055,Norway
61.0,SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,632,VIA SAN MAURILIO 13,20123,MILANO,Milano,Italien,IT,"VIA SAN MAURILIO 13, 20123, Milano, Italien",45.4621398,9.1840325,Italy
62.0,SCOTTISHPOWER ENERGY RETAIL LIMITED,1157,320 ST. VINCENT STREET,G2   5AD,GLASGOW,Glasgow,Vereinigtes Königreich,GB,"320 ST. VINCENT STREET, G2   5AD, Glasgow, Vereinigtes Königreich",55.8611406,-4.2547627,United Kingdom
63.0,ШЕЛ БЪЛГАРИЯ,61,"СЕРДИКА ОФИСИ, БУЛ. СИТНЯКОВО 48, ЕТ. 8",1505,СОФИЯ,София - град,Bulgarien,BG,"СЕРДИКА ОФИСИ, БУЛ. СИТНЯКОВО 48, ЕТ. 8, 1505, София - град, Bulgarien",42.6915275,23.353074,Bulgaria
64.0,FRIEDRICH VORWERK GROUP SE,1644,HARBURGER STR. 19,21255,TOSTEDT,Harburg,Deutschland,DE,"HARBURGER STR. 19, 21255, Harburg, Deutschland",53.36364,9.872658,Germany
65.0,SOLVAY QUIMICA SLU,378,"AVENIDA ALBERTO I, S/N",39300,TORRELAVEGA,Cantabria,Spanien,ES,"AVENIDA ALBERTO I, S/N, 39300, Cantabria, Spanien",43.3517,-4.046623,Spain
66.0,"AIR LIQUIDE IBERICA DE GASES, SL UNIPERSONAL",133,"CALLE AGUSTIN DE FOXA, 4 PLANTA 4",28036,MADRID,Madrid,Spanien,ES,"CALLE AGUSTIN DE FOXA, 4 PLANTA 4, 28036, Madrid, Spanien",40.467227,-3.688012,Spain
67.0,AIR LIQUIDE HYDROGENE,n.v.,6 RUE COGNACQ JAY,75007,PARIS,Paris,Frankreich,FR,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich",48.8618312,2.3045629,France
68.0,WOOD ITALIANA S.R.L.,983,VIA SEBASTIANO CABOTO 15,20094,CORSICO,Milano,Italien,IT,"VIA SEBASTIANO CABOTO 15, 20094, Milano, Italien",45.441448,9.111604,Italy
69.0,2G ENERGY AG,842,BENZSTR. 3,48619,HEEK,Borken,Deutschland,DE,"BENZSTR. 3, 48619, Borken, Deutschland",52.11571435,7.083733369217654,Germany
70.0,ARKEMA GMBH,395,TERSTEEGENSTR. 28,40474,DÜSSELDORF,Düsseldorf,Deutschland,DE,"TERSTEEGENSTR. 28, 40474, Düsseldorf, Deutschland",51.2527742,6.7633152,Germany
71.0,BASF DOW HPPO PRODUCTION,n.v.,SCHELDELAAN 600,2040,ANTWERPEN,Antwerp,Belgien,BE,"SCHELDELAAN 600, 2040, Antwerp, Belgien",51.3623782,4.277185122562272,Belgium
72.0,НЕОХИМ,716,УЛ. ХИМКОМБИНАТСКА ИЗТОЧНА ИНДУСТРИАЛНА ЗОНА,6403,ДИМИТРОВГРАД,Хасково,Bulgarien,BG,"УЛ. ХИМКОМБИНАТСКА ИЗТОЧНА ИНДУСТРИАЛНА ЗОНА, 6403, Хасково, Bulgarien",,,Bulgaria
73.0,AIR LIQUIDE GLOBAL E&C SOLUTIONS FRANCE,544,6 RUE COGNACQ JAY,75007,PARIS,Paris,Frankreich,FR,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich",48.8618312,2.3045629,France
74.0,SABIC UK PETROCHEMICALS LIMITED,383,WILTON,TS10 4RF,REDCAR,Redcar,Vereinigtes Königreich,GB,"WILTON, TS10 4RF, Redcar, Vereinigtes Königreich",,,United Kingdom
75.0,ABO WIND AKTIENGESELLSCHAFT,1036,UNTER DEN EICHEN 7,65195,WIESBADEN,Wiesbaden,Deutschland,DE,"UNTER DEN EICHEN 7, 65195, Wiesbaden, Deutschland",50.0953221,8.2151228,Germany
76.0,LINDE SVERIGE AB,626,RÄTTARVÄGEN 3,169 68,SOLNA,Stockholm,Schweden,SE,"RÄTTARVÄGEN 3, 169 68, Stockholm, Schweden",59.3658558,18.0116545,Sweden
77.0,AIR LIQUIDE ADVANCED TECHNOLOGIES,1096,75 QUAI D ORSAY,75007,PARIS,Paris,Frankreich,FR,"75 QUAI D ORSAY, 75007, Paris, Frankreich",48.8622331,2.3047133,France
78.0,"SCHMIDT, KRANZ & CO. GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG",1691,HAUPTSTR. 123,42555,VELBERT,Mettmann,Deutschland,DE,"HAUPTSTR. 123, 42555, Mettmann, Deutschland",51.34923585,7.112969849488823,Germany
79.0,AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,n.v.,"AK HANI APARTMANI, MIRALAY SEFIKBEY SOKAK NO:15-2, GÜMÜSSUYU MAHALLESI",34437,BEYOGLU,Istanbul,Türkei,TR,"AK HANI APARTMANI, MIRALAY SEFIKBEY SOKAK NO:15-2, GÜMÜSSUYU MAHALLESI, 34437, Istanbul, Türkei",,,Turkey
80.0,SOLVAY OPERATIONS FRANCE,n.v.,9 RUE DES CUIRASSIERS,69003,LYON,Rhône,Frankreich,FR,"9 RUE DES CUIRASSIERS, 69003, Rhône, Frankreich",45.7589629,4.8559931,France
81.0,LINDE GAS A.S.,n.v.,U TECHNOPLYNU 1324,19800,PRAHA 9,Obvod Praha 14,Tschechische Republik,CZ,"U TECHNOPLYNU 1324, 19800, Obvod Praha 14, Tschechische Republik",50.0830096,14.5412829,Czech Republic
82.0,NHOA,542,28 RUE DE LONDRES,75009,PARIS,Paris,Frankreich,FR,"28 RUE DE LONDRES, 75009, Paris, Frankreich",48.8775524,2.328086,France
83.0,"AL AIR LIQUIDE ESPAÑA, SA",452,"CALLE AGUSTIN DE FOXA, 4 PLANTA 4",28036,MADRID,Madrid,Spanien,ES,"CALLE AGUSTIN DE FOXA, 4 PLANTA 4, 28036, Madrid, Spanien",40.467227,-3.688012,Spain
84.0,VOLLENHOVEN B.V.,33,GOIRKEKANAALDIJK 221,5048 AA,TILBURG,Tilburg,Niederlande,NL,"GOIRKEKANAALDIJK 221, 5048 AA, Tilburg, Niederlande",51.5797825,5.060085,Netherlands
85.0,NIPPON GASES INDUSTRIAL S.R.L.,212,VIA BENIGNO CRESPI 19,20159,MILANO,Milano,Italien,IT,"VIA BENIGNO CRESPI 19, 20159, Milano, Italien",45.501241,9.1853063,Italy
86.0,LINDE GAS GMBH,320,CARL-VON-LINDE-PLATZ 1,4651,STADL-PAURA,Oberösterreich,Österreich,AT,"CARL-VON-LINDE-PLATZ 1, 4651, Oberösterreich, Österreich",48.086291,13.8896,Austria
87.0,EXIDE TECHNOLOGIES SAS,455,5 ALLEE DES PIERRES MAYETTES,92230,GENNEVILLIERS,Hauts-de-Seine,Frankreich,FR,"5 ALLEE DES PIERRES MAYETTES, 92230, Hauts-de-Seine, Frankreich",48.937581,2.301857,France
88.0,GASUM CLEAN GAS SOLUTIONS AB,10,"C/O GASUM AB, GJUTERIGATAN 5",582 73,LINKÖPING,Östergötland,Schweden,SE,"C/O GASUM AB, GJUTERIGATAN 5, 582 73, Östergötland, Schweden",,,Sweden
89.0,RAINOLDI S.P.A.,46,VIA SAN CARLO BORROMEO 36,24040,LEVATE,Bergamo,Italien,IT,"VIA SAN CARLO BORROMEO 36, 24040, Bergamo, Italien",45.664096,9.626605,Italy
90.0,CIECH SODA DEUTSCHLAND GMBH & CO. KG,333,AN DER LÖDERBURGER BAHN,39418,STAßFURT,Salzlandkreis,Deutschland,DE,"AN DER LÖDERBURGER BAHN, 39418, Salzlandkreis, Deutschland",51.798492,11.3666873,Germany
91.0,SOL GAS PRIMARI S.R.L.,60,VIA GEROLAMO BORGAZZI 27,20900,MONZA,Monza e della Brianza,Italien,IT,"VIA GEROLAMO BORGAZZI 27, 20900, Monza e della Brianza, Italien",45.5702884,9.2655581,Italy
92.0,AIR PRODUCTS,n.v.,"BAT 221 PARC DES PORTES PARIS BAT 270, 45 AVENUE VICTOR HUGO",93300,AUBERVILLIERS,Seine-Saint-Denis,Frankreich,FR,"BAT 221 PARC DES PORTES PARIS BAT 270, 45 AVENUE VICTOR HUGO, 93300, Seine-Saint-Denis, Frankreich",48.9022393,2.3695304,France
93.0,AIR PRODUCTS,259,LEONARDO DA VINCILAAN 19C B.4,1831,DIEGEM,Halle-Vilvoorde,Belgien,BE,"LEONARDO DA VINCILAAN 19C B.4, 1831, Halle-Vilvoorde, Belgien",50.892194,4.459109,Belgium
94.0,AIR LIQUIDE UK LIMITED,347,"STATION ROAD, COLESHILL",B46 1JY,BIRMINGHAM,Birmingham,Vereinigtes Königreich,GB,"STATION ROAD, COLESHILL, B46 1JY, Birmingham, Vereinigtes Königreich",52.52843185,-1.8425769500000009,United Kingdom
95.0,BIOENERGIE DU SUD-OUEST,65,ROCADE SUD D ARANCE,64300,MONT,Pyrénées-Atlantiques,Frankreich,FR,"ROCADE SUD D ARANCE, 64300, Pyrénées-Atlantiques, Frankreich",43.482644,-0.749815,France
96.0,DOW STADE PRODUKTIONS GMBH & CO. OHG,1135,BÜTZFLETHER SAND,21683,STADE,Stade,Deutschland,DE,"BÜTZFLETHER SAND, 21683, Stade, Deutschland",53.6465124,9.4482207,Germany
97.0,ЛУКОЙЛ-ИНЖИНИРИНГ,n.v.,"Б-Р ПОКРОВСКИЙ Д. 3, СТР. 1",109028,МОСКВА,г.Москва,Russische Föderation,RU,"Б-Р ПОКРОВСКИЙ Д. 3, СТР. 1, 109028, г.Москва, Russische Föderation",55.752037,37.642226,Russia
98.0,JRS PHARMA GMBH & CO. KG,38,HOLZMÜHLE,73494,ROSENBERG,Ostalbkreis,Deutschland,DE,"HOLZMÜHLE, 73494, Ostalbkreis, Deutschland",49.0139186,10.0647658,Germany
99.0,АКЦИОНЕРНОЕ ОБЩЕСТВО ТАТЕХ,139,УЛ. МАЯКОВСКОГО Д.116,423450,АЛЬМЕТЬЕВСК,Республика Татарстан (Татарстан),Russische Föderation,RU,"УЛ. МАЯКОВСКОГО Д.116, 423450, Республика Татарстан (Татарстан), Russische Föderation",54.8919906,52.30871044747992,Russia
100.0,EWE GASSPEICHER GMBH,105,RUMMELWEG 18,26122,OLDENBURG,Oldenburg,Deutschland,DE,"RUMMELWEG 18, 26122, Oldenburg, Deutschland",53.1402393,8.1953922,Germany
101.0,AIR PRODUCTS GMBH,231,AN DER KOST 3,45527,HATTINGEN,Ennepe-Ruhr,Deutschland,DE,"AN DER KOST 3, 45527, Ennepe-Ruhr, Deutschland",51.4170596,7.201615995287249,Germany
102.0,SAPIO LIFE SRL,157,VIA SILVIO PELLICO 48,20900,MONZA,Monza e della Brianza,Italien,IT,"VIA SILVIO PELLICO 48, 20900, Monza e della Brianza, Italien",45.5751829,9.2899946,Italy
103.0,LINDE GAS ESPAÑA SOCIEDAD ANONIMA.,325,"CAMINO LIRIA, S/N APARTADO DE CORREOS, 25",46530,PUÇOL,Valencia,Spanien,ES,"CAMINO LIRIA, S/N APARTADO DE CORREOS, 25, 46530, Valencia, Spanien",39.482411,-0.353566,Spain
104.0,"SIEMENS ENERGY, S.R.O.",895,OLOMOUCKÁ 3419/7,61800,BRNO,Okres Brno-město,Tschechische Republik,CZ,"OLOMOUCKÁ 3419/7, 61800, Okres Brno-město, Tschechische Republik",49.1906046,16.6326989,Czech Republic
105.0,CERES ENERGY LIMITED,17,THE OLD GRAMMAR SCHOOL HALLGATE,NE46 1XD,HEXHAM,Hexham,Vereinigtes Königreich,GB,"THE OLD GRAMMAR SCHOOL HALLGATE, NE46 1XD, Hexham, Vereinigtes Königreich",54.9710487,-2.0995561,United Kingdom
106.0,AIR PRODUCTS SP. Z O.O.,570,KOMITETU OBRONY ROBOTNIKÓW 48,02-146,WARSZAWA,Warszawa,Polen,PL,"KOMITETU OBRONY ROBOTNIKÓW 48, 02-146, Warszawa, Polen",52.1837838,20.9667251,Poland
107.0,WESTENERGIE NETZSERVICE GMBH,105,FLORIANSTR. 15- 21,44139,DORTMUND,Dortmund,Deutschland,DE,"FLORIANSTR. 15- 21, 44139, Dortmund, Deutschland",51.4978601,7.4716388,Germany
108.0,T.EN NETHERLANDS B.V.,283,AFRIKAWEG 30,2713 AW,ZOETERMEER,Zoetermeer,Niederlande,NL,"AFRIKAWEG 30, 2713 AW, Zoetermeer, Niederlande",52.0584438,4.4814249,Netherlands
