Country,City,Project name,Process type,Subprocess type,End-use,Production capacity T/year,Production capacity MWel,Output T/year,Latitude,Longitude,ID
France,Bethune,Syndicat mixte des transports Artois-Gohelle (SMT AG),Water electrolysis,,Mobility,82.64150943396227,0.5,56.196226415094344,49.8808904,1.1415922,55
France,Toulouse,Hyport - Toulouse airport,Water electrolysis,,Mobility,115.69811320754717,0.7,78.67471698113208,43.6366065081633,1.3711896083922,56
France,Bouin,Lhyfe Bouin (Phase 1),Water electrolysis,,Mobility,123.9622641509434,0.75,84.29433962264152,46.9744444,-2.0005556,57
France,Auxerre,AuxHyGen/Auxr H2,Water electrolysis,,Mobility,165.28301886792454,1.0,112.39245283018869,47.8031609515491,3.58821986608128,58
France,Saint-Florentin,Hycaunais,Water electrolysis,,Blending in natural gas pipelines,165.28301886792454,1.0,112.39245283018869,47.9929935579677,3.71096606770049,59
France,Le Croisic,SEM-REV offshore hydrogen at Le Croisic,Water electrolysis,,Unknown,165.28301886792454,1.0,112.39245283018869,47.2641973154324,-2.65015716009921,60
France,Lavéra,Lavéra Kem One,By-product,Chlor-alkali,Unknown,9548,,6588.12,43.388073,5.030569,61
France,Lavéra,Lavéra Naphtachimie SA,By-product,Ethylene,Refining,12639.939999999999,,4213.313333333333,43.389073,5.030569,62
France,Lavéra,Lavéra Petrolneos Refining Ltd.,Reforming,,Refining,27858.551999999996,,20234.10618947373,43.390073,5.030569,63
France,Lavéra,Lavéra Air Liquide,Reforming,,Refining,19697.495964437436,,14306.602332065086,43.392073,5.030569,64
France,La Mede,La Mede Total,Reforming,,Refining,21000,,15252.631578947368,43.399232,5.111521,65
France,Lacq,Lacq Air Liquide,Reforming,,Other chemicals,1411.6538774513492,,1101.0900244120523,43.413249,-0.61914,66
France,Fos sur Mer,Fos sur Mer Kem One,By-product,Chlor-alkali,Unknown,9324,,6433.5599999999995,43.436882,4.945711,67
France,Fos,Fos AGA Gas,Reforming,,Unknown,709.1098547197478,,553.1056866814033,43.437882,4.945711,68
France,Fos sur Mer,Fos sur Mer ExxonMobil,Reforming,,Refining,34789.464,,25268.137010526316,43.439882,4.945711,69
France,Berre l’Etang,Berre l’Etang LyondellBasell,By-product,Ethylene,Other chemicals,8028.07,,4014.035,43.4757729,5.167309,70
France,Saint Auban,Saint Auban Arkema (Kem One),By-product,Chlor-alkali,Unknown,560,,386.4,43.848478,6.726625,71
France,Gordes,Roussilon Air Liquide,Reforming,,Unknown,1988.082,,1550.70396,43.911315,5.200176,72
France,Ambès,Ambès Nouryon,By-product,Sodium chlorate,Unknown,3683.4,,2873.052,45.012825,-0.530755,73
France,Jarrie,Jarrie Arkema (Kem One),By-product,Chlor-alkali,Unknown,2100,,1449,45.1124266,5.7547492,74
France,Jarrie,Jarrie Arkema,By-product,Sodium chlorate,Other chemicals,4472.699999999999,,3488.705999999999,45.1134266,5.7547492,75
France,Jarrie,Jarrie Arkema,Reforming,,Other chemicals,3111,,2426.58,45.1144266,5.7547492,76
France,Le Pont de Claix,Le Pont de Claix Vencorex,By-product,Chlor-alkali,Unknown,3332.0000000000005,,2299.08,45.123218,5.69782,77
France,Le Pont de Claix,Le Pont de Claix Air Liquide,Reforming,,Other chemicals,5745.102989627585,,4481.180331909516,45.124218,5.69782,78
France,Le Pont de Claix,Le Pont de Claix Air Liquide,Reforming,,Unknown,2363.6995157324923,,1843.685622271344,45.125218,5.69782,79
France,Pombliere,Pombliere MSSA,By-product,Chlor-alkali,Unknown,1176,,811.4399999999999,45.498975,6.559298,80
France,Feyzin,Feyzin Total,By-product,Ethylene,Refining,4270.25,,3437.8395408527776,45.6730259,4.8602463,81
France,Feyzin,Feyzin Total,Reforming,,Refining,24685.68,,17929.59915789474,45.6740259,4.8602463,82
France,Saint Fons,Saint Fons Air Liquide,Reforming,,Unknown,11818.497578662464,,9218.428111356721,45.708874,4.853374,83
France,Fos Tonkin,Fos Tonkin Air Liquide,Reforming,,Unknown,Unknown,,Unknown,43.457513,4.853221,84
France,Tavaux,Tavaux Solvay,By-product,Chlor-alkali,Unknown,10359.999999999998,,7148.399999999998,47.036533,5.407559,85
France,Donges,Donges Total,Reforming,,Refining,47075.36744664286,,34191.58267177218,47.318789,-2.074694,86
France,Ottmarsheim,Ottmarshein BOREALIS-PRODUITS ET ENGRAIS CHIMIQUES DU RHIN,Reforming,,Ammonia,46163.65,,26313.280499999997,47.78719,7.506512,87
France,Thann,Thann Vynova PPC,By-product,Chlor-alkali,Other chemicals,1176,,811.4399999999999,47.810702,7.102382,88
France,Chalampe,Chalampe Linde,Reforming,,Other chemicals,16414.579970364528,,12803.372376884332,47.8197789,7.539769,89
France,Grandpuits-Bailly-Carrois,Grandpuits-Bailly-Carrois Borealis,Reforming,,Ammonia,77945.5475,,44428.962074999996,48.5854426,2.9781166,90
France,Grand-Quevilly,Grand-Quevilly Borealis,Reforming,,Ammonia,71021,,40481.969999999994,49.411811,1.041384,91
France,Port Jérôme,Port Jérôme Air Liquide,Reforming,,Refining,26000.69467305742,,18884.715078325917,49.4890146,0.5676293,92
France,Notre Dame de Gravenchon,Notre Dame de Gravenchon ExxonMobil Chemical,By-product,Ethylene,Refining,7259.425,,5844.327219449722,49.489108,0.567624,93
France,Port Jérôme,Port Jérôme ExxonMobil,Reforming,,Refining,56636.246999999996,,41135.80045263159,49.4900146,0.5676293,94
France,Port Jérôme,Port Jérôme Air Liquide,Reforming (carbon capture),,Refining,13394.297255817459,,9728.48958580426,49.4920146,0.5676293,95
France,Le Havre,Le Havre YARA,Reforming,,Ammonia,71021,,40481.969999999994,49.49437,0.107929,96
France,Gonfreville L'Orcher,Gonfreville L'Orcher Total,By-product,Ethylene,Refining,8967.525,,7219.463035790833,49.502579,0.233079,97
France,Gonfreville L'Orcher,Gonfreville L'Orcher Total,Reforming,,Refining,36153.396,,26258.78235789474,49.503579,0.233079,98
France,Gonfreville L'Orcher,Gonfreville L'Orcher Total/Air Liquide,Reforming,,Refining,106524.04000000001,,77370.09221052636,49.504579,0.233079,99
France,Waziers,Waziers Air Liquide,Reforming,,Unknown,3832.5,,2989.35,50.3871286,3.1093554,100
France,Loos,Loos Kuhimann France,By-product,Chlor-alkali,Unknown,980,,676.1999999999999,50.615139,3.017729,101
France,Dunkerque,Dunkerque Versalis (Eni Group),By-product,Ethylene,Refining,6490.78,,5225.516102096222,51.0333684,2.3767763,102
Germany,Berlin,H2BER (Berlin airport),Water electrolysis,,Mobility,82.64150943396226,0.5,56.19622641509434,52.3699921358899,13.5242988316558,103
Germany,Dauerthal,"Hybrid Power Plant Enertrag, Prenzlau",Water electrolysis,,Power generation,82.64150943396226,0.5,56.19622641509434,53.3649417,13.9684468,104
Germany,Hamburg,Hamburg Hafen City HRS,Water electrolysis,,Mobility,99.1698113207547,0.6,67.4354716981132,53.5459162654515,10.0025167626962,105
Germany,Salzgitter,GrInHy2.0,Water electrolysis,,Steel,119.00377358490564,0.72,80.92256603773585,52.1503721,10.3593147,106
Germany,Lampoldshausen,H2orizon,Water electrolysis,,Mobility,132.22641509433961,0.8,89.91396226415094,49.2644733,9.401743,107
Germany,Esslingen,Green Hydrogen Esslingen (P2G2P),Water electrolysis,,Residential heat,165.2830188679245,1.0,112.39245283018867,48.7427584,9.3071685,108
Germany,Haurup,Windgas Haurup,Water electrolysis,,Residential heat,165.2830188679245,1.0,112.39245283018867,54.7267886,9.3478232,109
Germany,Werlte,Fairfuel Atmosfair – PtL in Werlte,Water electrolysis,,E-fuels,206.60377358490564,1.25,140.49056603773585,52.8528701,7.6764179,110
Germany,Leuna,MegalyseurPlus (HYPOS),Water electrolysis,,Unknown,206.60377358490564,1.25,140.49056603773585,51.2973442363618,11.9973813222433,111
Germany,Haßfurt,Windgas Haßfurt (Haßfurt),Water electrolysis,,Blending in natural gas pipelines,206.60377358490564,1.25,140.49056603773585,50.0318698,10.5065562,112
Germany,Wyhlen,H2 Wyhlen (Power-to-Gas Baden-Württemberg) (Phase 1),Water electrolysis,,Mobility,214.86792452830187,1.3,146.11018867924528,47.5381816277997,7.70626339365355,113
Germany,Duisburg,Carbon2Chem,Water electrolysis,,Other chemicals,330.566037735849,2.0,224.78490566037735,51.4914175773825,6.72396950620628,114
Germany,Twist,Green H2 hub Haren,Water electrolysis,,Blending in natural gas pipelines,330.566037735849,2.0,224.78490566037735,52.6474242,7.0947959,115
Germany,Laage,Rostock - Laage Industrial park (Phase 1),Water electrolysis,,Mobility,330.566037735849,2.0,224.78490566037735,53.9034052944025,12.2831689290693,116
Germany,Falkenhagen,WindGas Falkenhagen,Water electrolysis,,Methanol,330.566037735849,2.0,224.78490566037735,53.2003105413885,12.2351124180165,117
Germany,Brunsbüttel,Wind to Gas Südermarsch,Water electrolysis,,Mobility,396.6792452830188,2.4,269.7418867924528,53.8939674684032,9.17372152088397,118
Germany,Pirmasens,Energiepark Pirmasens-Winzeln,Water electrolysis,,Unknown,413.2075471698113,2.5,280.9811320754717,49.1996961,7.6087847,119
Germany,Wuppertal,H2W,Water electrolysis,,Mobility,413.2075471698113,2.5,280.9811320754717,51.264018,7.1780374,120
Germany,Salzgitter,WindH2 Windwasserstoff Salzgitter,Water electrolysis,,Steel,413.2075471698113,2.5,280.9811320754717,52.1523434613963,10.4066598815022,121
Germany,Hamburg-Neuhof,H&R Ölwerke Schindler Hamburg-Neuhof,Water electrolysis,,Refining,826.4150943396226,5.0,561.9622641509434,53.5142697661571,9.95004694091784,122
Germany,Mainz,Energiepark Mainz,Water electrolysis,,Industrial heat,991.6981132075471,6.0,674.354716981132,49.9999952,8.2710237,123
Germany,Werlte,Audi e-gas,Water electrolysis,,E-fuels,1041.2830188679243,6.3,708.0724528301886,52.8518701,7.6764179,124
Germany,Wunsiedel,Energy Park Wunsiedel,Water electrolysis,,Unknown,1446.2264150943395,8.75,983.4339622641509,50.0373241,12.0027278,125
Germany,Wesseling,REFHYNE (Phase 1),Water electrolysis,,Refining,1652.830188679245,10.0,1123.9245283018868,50.8605615564851,6.98058161550651,126
Germany,Gendorf,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,48.1725118,12.7179825,127
Germany,Burghausen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,48.1725613,12.8310753,128
Germany,Burghausen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,48.1735613,12.8310753,129
Germany,Burghausen,Unknown,Reforming,,Unknown,Unknown,,Unknown,48.1745613,12.8310753,130
Germany,Gersthofen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,48.4242503,10.876347,131
Germany,Münchsmünster,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,48.7651018,11.6898582,132
Germany,Ingolstadt,Unknown,Reforming,,Unknown,Unknown,,Unknown,48.7667395,11.4226498,133
Germany,Ingolstadt,Unknown,Reforming,,Unknown,Unknown,,Unknown,48.7687395,11.4226498,134
Germany,Neustadt an der Donau,Unknown,Reforming,,Unknown,Unknown,,Unknown,48.8030062,11.7670734,135
Germany,Karlsruhe,Unknown,Reforming,,Unknown,Unknown,,Unknown,49.0068901,8.4036527,136
Germany,Ludwigshafen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,49.4774018,8.4447451,137
Germany,Ludwigshafen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,49.4784018,8.4447451,138
Germany,Ludwigshafen,Unknown,Reforming,,Unknown,Unknown,,Unknown,49.4794018,8.4447451,139
Germany,Ludwigshafen,Unknown,By-product,Unknown,Unknown,Unknown,,Unknown,49.4804018,8.4447451,140
